Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	per_base_sequence_quality	Total Bases	Sequence length	File type	basic_statistics	per_sequence_gc_content	sequence_length_distribution	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
H3B_M_1_MKRN240023765-1A_22HGLTLT4_L2_1	pass	0.0	fail	150.0	Sanger / Illumina 1.9	pass	8.3 Gbp	150.0	Conventional base calls	pass	pass	pass	55918733.0	pass	fail	pass	52.0	29.5909468553	H3B_M_1_MKRN240023765-1A_22HGLTLT4_L2_1.fq.gz	warn	pass
H3B_M_1_MKRN240023765-1A_22HGLTLT4_L2_2	pass	0.0	fail	150.0	Sanger / Illumina 1.9	pass	8.3 Gbp	150.0	Conventional base calls	pass	pass	pass	55918733.0	pass	fail	pass	52.0	26.7636177922	H3B_M_1_MKRN240023765-1A_22HGLTLT4_L2_2.fq.gz	warn	pass
H3B_M_2_MKRN240023766-1A_22HGLTLT4_L1_1	pass	0.0	fail	150.0	Sanger / Illumina 1.9	pass	7.2 Gbp	150.0	Conventional base calls	pass	pass	pass	48137833.0	pass	fail	pass	52.0	36.8382513039	H3B_M_2_MKRN240023766-1A_22HGLTLT4_L1_1.fq.gz	warn	pass
H3B_M_2_MKRN240023766-1A_22HGLTLT4_L1_2	pass	0.0	fail	150.0	Sanger / Illumina 1.9	pass	7.2 Gbp	150.0	Conventional base calls	pass	pass	pass	48137833.0	pass	fail	pass	52.0	35.2914434433	H3B_M_2_MKRN240023766-1A_22HGLTLT4_L1_2.fq.gz	pass	pass
H3B_M_3_MKRN240023767-1A_22HGLTLT4_L4_1	pass	0.0	fail	150.0	Sanger / Illumina 1.9	pass	6.2 Gbp	150.0	Conventional base calls	pass	pass	pass	41477198.0	pass	fail	pass	52.0	40.113919279	H3B_M_3_MKRN240023767-1A_22HGLTLT4_L4_1.fq.gz	pass	pass
H3B_M_3_MKRN240023767-1A_22HGLTLT4_L4_2	pass	0.0	fail	150.0	Sanger / Illumina 1.9	pass	6.2 Gbp	150.0	Conventional base calls	pass	warn	pass	41477198.0	pass	fail	pass	52.0	38.8417197715	H3B_M_3_MKRN240023767-1A_22HGLTLT4_L4_2.fq.gz	pass	pass
H3B_T_1_MKRN240023762-1A_22HGLTLT4_L2_1	pass	0.0	fail	150.0	Sanger / Illumina 1.9	pass	6.4 Gbp	150.0	Conventional base calls	pass	pass	pass	43191229.0	pass	fail	pass	52.0	30.4206400424	H3B_T_1_MKRN240023762-1A_22HGLTLT4_L2_1.fq.gz	warn	pass
H3B_T_1_MKRN240023762-1A_22HGLTLT4_L2_2	pass	0.0	fail	150.0	Sanger / Illumina 1.9	pass	6.4 Gbp	150.0	Conventional base calls	pass	pass	pass	43191229.0	pass	fail	pass	52.0	27.6560973087	H3B_T_1_MKRN240023762-1A_22HGLTLT4_L2_2.fq.gz	warn	pass
H3B_T_2_MKRN240023763-1A_22HGLTLT4_L4_1	pass	0.0	fail	150.0	Sanger / Illumina 1.9	pass	4.9 Gbp	150.0	Conventional base calls	pass	pass	pass	32713755.0	pass	fail	pass	52.0	40.7122687981	H3B_T_2_MKRN240023763-1A_22HGLTLT4_L4_1.fq.gz	pass	pass
H3B_T_2_MKRN240023763-1A_22HGLTLT4_L4_2	pass	0.0	fail	150.0	Sanger / Illumina 1.9	pass	4.9 Gbp	150.0	Conventional base calls	pass	pass	pass	32713755.0	pass	fail	pass	52.0	39.6698384607	H3B_T_2_MKRN240023763-1A_22HGLTLT4_L4_2.fq.gz	pass	pass
H3B_T_3_MKRN240023764-1A_22HGLTLT4_L4_1	pass	0.0	fail	150.0	Sanger / Illumina 1.9	pass	4.7 Gbp	150.0	Conventional base calls	pass	pass	pass	31683970.0	pass	fail	pass	52.0	39.5734071299	H3B_T_3_MKRN240023764-1A_22HGLTLT4_L4_1.fq.gz	pass	pass
H3B_T_3_MKRN240023764-1A_22HGLTLT4_L4_2	pass	0.0	fail	150.0	Sanger / Illumina 1.9	pass	4.7 Gbp	150.0	Conventional base calls	pass	pass	pass	31683970.0	pass	fail	pass	52.0	38.2346434293	H3B_T_3_MKRN240023764-1A_22HGLTLT4_L4_2.fq.gz	pass	pass
H3B_WT_1_MKRN240023759-1A_22HGLTLT4_L2_1	pass	0.0	fail	150.0	Sanger / Illumina 1.9	pass	4.9 Gbp	150.0	Conventional base calls	pass	pass	pass	33263727.0	pass	fail	pass	52.0	31.0919945461	H3B_WT_1_MKRN240023759-1A_22HGLTLT4_L2_1.fq.gz	warn	pass
H3B_WT_1_MKRN240023759-1A_22HGLTLT4_L2_2	pass	0.0	fail	150.0	Sanger / Illumina 1.9	pass	4.9 Gbp	150.0	Conventional base calls	pass	pass	pass	33263727.0	pass	fail	pass	52.0	28.4084880827	H3B_WT_1_MKRN240023759-1A_22HGLTLT4_L2_2.fq.gz	warn	pass
H3B_WT_2_MKRN240023760-1A_22HGLTLT4_L2_1	pass	0.0	fail	150.0	Sanger / Illumina 1.9	pass	6.1 Gbp	150.0	Conventional base calls	pass	pass	pass	40967051.0	pass	fail	pass	53.0	27.0713727185	H3B_WT_2_MKRN240023760-1A_22HGLTLT4_L2_1.fq.gz	warn	pass
H3B_WT_2_MKRN240023760-1A_22HGLTLT4_L2_2	pass	0.0	fail	150.0	Sanger / Illumina 1.9	pass	6.1 Gbp	150.0	Conventional base calls	pass	pass	pass	40967051.0	pass	fail	pass	53.0	24.3598663787	H3B_WT_2_MKRN240023760-1A_22HGLTLT4_L2_2.fq.gz	warn	pass
H3B_WT_3_MKRN240023761-1A_22HGLTLT4_L2_1	pass	0.0	fail	150.0	Sanger / Illumina 1.9	pass	5.5 Gbp	150.0	Conventional base calls	pass	pass	pass	37010546.0	pass	fail	pass	53.0	27.8896521781	H3B_WT_3_MKRN240023761-1A_22HGLTLT4_L2_1.fq.gz	warn	pass
H3B_WT_3_MKRN240023761-1A_22HGLTLT4_L2_2	pass	0.0	fail	150.0	Sanger / Illumina 1.9	pass	5.5 Gbp	150.0	Conventional base calls	pass	pass	pass	37010546.0	pass	fail	pass	53.0	25.1968756994	H3B_WT_3_MKRN240023761-1A_22HGLTLT4_L2_2.fq.gz	warn	pass
H3B_dKO_1_MKRN240023768-1A_22HGLTLT4_L2_1	pass	0.0	fail	150.0	Sanger / Illumina 1.9	pass	5.4 Gbp	150.0	Conventional base calls	pass	pass	pass	36059751.0	pass	fail	pass	52.0	29.3386863332	H3B_dKO_1_MKRN240023768-1A_22HGLTLT4_L2_1.fq.gz	warn	pass
H3B_dKO_1_MKRN240023768-1A_22HGLTLT4_L2_2	pass	0.0	fail	150.0	Sanger / Illumina 1.9	pass	5.4 Gbp	150.0	Conventional base calls	pass	pass	pass	36059751.0	pass	fail	pass	52.0	26.6438546466	H3B_dKO_1_MKRN240023768-1A_22HGLTLT4_L2_2.fq.gz	warn	pass
H3B_dKO_2_MKRN240023769-1A_22HGLTLT4_L2_1	pass	0.0	fail	150.0	Sanger / Illumina 1.9	pass	6.4 Gbp	150.0	Conventional base calls	pass	pass	pass	42975583.0	pass	fail	pass	51.0	28.1384317088	H3B_dKO_2_MKRN240023769-1A_22HGLTLT4_L2_1.fq.gz	warn	pass
H3B_dKO_2_MKRN240023769-1A_22HGLTLT4_L2_2	pass	0.0	fail	150.0	Sanger / Illumina 1.9	pass	6.4 Gbp	150.0	Conventional base calls	pass	pass	pass	42975583.0	pass	fail	pass	51.0	25.3795797134	H3B_dKO_2_MKRN240023769-1A_22HGLTLT4_L2_2.fq.gz	warn	pass
H3B_dKO_3_MKRN240023770-1A_22HGLTLT4_L2_1	pass	0.0	fail	150.0	Sanger / Illumina 1.9	pass	5.2 Gbp	150.0	Conventional base calls	pass	pass	pass	35217702.0	pass	fail	pass	52.0	33.0592973309	H3B_dKO_3_MKRN240023770-1A_22HGLTLT4_L2_1.fq.gz	warn	pass
H3B_dKO_3_MKRN240023770-1A_22HGLTLT4_L2_2	pass	0.0	fail	150.0	Sanger / Illumina 1.9	pass	5.2 Gbp	150.0	Conventional base calls	pass	pass	pass	35217702.0	pass	fail	pass	52.0	30.1394931838	H3B_dKO_3_MKRN240023770-1A_22HGLTLT4_L2_2.fq.gz	warn	pass
RIL_M_1_MKRN240023753-1A_22HGGMLT4_L7_1	pass	0.0	fail	150.0	Sanger / Illumina 1.9	pass	2.6 Gbp	150.0	Conventional base calls	pass	warn	pass	17461669.0	pass	fail	pass	51.0	49.2037838007	RIL_M_1_MKRN240023753-1A_22HGGMLT4_L7_1.fq.gz	fail	pass
RIL_M_1_MKRN240023753-1A_22HGGMLT4_L7_2	pass	0.0	fail	150.0	Sanger / Illumina 1.9	pass	2.6 Gbp	150.0	Conventional base calls	pass	warn	pass	17461669.0	pass	fail	pass	51.0	48.2213182499	RIL_M_1_MKRN240023753-1A_22HGGMLT4_L7_2.fq.gz	fail	pass
RIL_M_1_MKRN240023753-1A_22HGLTLT4_L1_1	pass	0.0	fail	150.0	Sanger / Illumina 1.9	pass	3.1 Gbp	150.0	Conventional base calls	pass	warn	pass	20821354.0	pass	fail	pass	51.0	42.8346998638	RIL_M_1_MKRN240023753-1A_22HGLTLT4_L1_1.fq.gz	warn	pass
RIL_M_1_MKRN240023753-1A_22HGLTLT4_L1_2	pass	0.0	fail	150.0	Sanger / Illumina 1.9	pass	3.1 Gbp	150.0	Conventional base calls	pass	warn	pass	20821354.0	pass	fail	pass	51.0	41.723261711	RIL_M_1_MKRN240023753-1A_22HGLTLT4_L1_2.fq.gz	pass	pass
RIL_M_2_MKRN240023754-1A_22HGLTLT4_L2_1	pass	0.0	fail	150.0	Sanger / Illumina 1.9	pass	5.1 Gbp	150.0	Conventional base calls	pass	warn	pass	34063382.0	pass	fail	pass	51.0	29.8241045514	RIL_M_2_MKRN240023754-1A_22HGLTLT4_L2_1.fq.gz	warn	pass
RIL_M_2_MKRN240023754-1A_22HGLTLT4_L2_2	pass	0.0	fail	150.0	Sanger / Illumina 1.9	pass	5.1 Gbp	150.0	Conventional base calls	pass	warn	pass	34063382.0	pass	fail	pass	51.0	27.1834375899	RIL_M_2_MKRN240023754-1A_22HGLTLT4_L2_2.fq.gz	warn	pass
