Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
H3B_M_1_MKRN240023765-1A_22HGLTLT4_L2_1	70.4090531447	52.0	150.0	55918733.0	18.1818181818
H3B_M_1_MKRN240023765-1A_22HGLTLT4_L2_2	73.2363822078	52.0	150.0	55918733.0	18.1818181818
H3B_M_2_MKRN240023766-1A_22HGLTLT4_L1_1	63.1617486961	52.0	150.0	48137833.0	18.1818181818
H3B_M_2_MKRN240023766-1A_22HGLTLT4_L1_2	64.7085565567	52.0	150.0	48137833.0	18.1818181818
H3B_M_3_MKRN240023767-1A_22HGLTLT4_L4_1	59.886080721	52.0	150.0	41477198.0	18.1818181818
H3B_M_3_MKRN240023767-1A_22HGLTLT4_L4_2	61.1582802285	52.0	150.0	41477198.0	18.1818181818
H3B_T_1_MKRN240023762-1A_22HGLTLT4_L2_1	69.5793599576	52.0	150.0	43191229.0	18.1818181818
H3B_T_1_MKRN240023762-1A_22HGLTLT4_L2_2	72.3439026913	52.0	150.0	43191229.0	18.1818181818
H3B_T_2_MKRN240023763-1A_22HGLTLT4_L4_1	59.2877312019	52.0	150.0	32713755.0	18.1818181818
H3B_T_2_MKRN240023763-1A_22HGLTLT4_L4_2	60.3301615393	52.0	150.0	32713755.0	18.1818181818
H3B_T_3_MKRN240023764-1A_22HGLTLT4_L4_1	60.4265928701	52.0	150.0	31683970.0	18.1818181818
H3B_T_3_MKRN240023764-1A_22HGLTLT4_L4_2	61.7653565707	52.0	150.0	31683970.0	18.1818181818
H3B_WT_1_MKRN240023759-1A_22HGLTLT4_L2_1	68.9080054539	52.0	150.0	33263727.0	18.1818181818
H3B_WT_1_MKRN240023759-1A_22HGLTLT4_L2_2	71.5915119173	52.0	150.0	33263727.0	18.1818181818
H3B_WT_2_MKRN240023760-1A_22HGLTLT4_L2_1	72.9286272815	53.0	150.0	40967051.0	18.1818181818
H3B_WT_2_MKRN240023760-1A_22HGLTLT4_L2_2	75.6401336213	53.0	150.0	40967051.0	18.1818181818
H3B_WT_3_MKRN240023761-1A_22HGLTLT4_L2_1	72.1103478219	53.0	150.0	37010546.0	18.1818181818
H3B_WT_3_MKRN240023761-1A_22HGLTLT4_L2_2	74.8031243006	53.0	150.0	37010546.0	18.1818181818
H3B_dKO_1_MKRN240023768-1A_22HGLTLT4_L2_1	70.6613136668	52.0	150.0	36059751.0	18.1818181818
H3B_dKO_1_MKRN240023768-1A_22HGLTLT4_L2_2	73.3561453534	52.0	150.0	36059751.0	18.1818181818
H3B_dKO_2_MKRN240023769-1A_22HGLTLT4_L2_1	71.8615682912	51.0	150.0	42975583.0	18.1818181818
H3B_dKO_2_MKRN240023769-1A_22HGLTLT4_L2_2	74.6204202866	51.0	150.0	42975583.0	18.1818181818
H3B_dKO_3_MKRN240023770-1A_22HGLTLT4_L2_1	66.9407026691	52.0	150.0	35217702.0	18.1818181818
H3B_dKO_3_MKRN240023770-1A_22HGLTLT4_L2_2	69.8605068162	52.0	150.0	35217702.0	18.1818181818
RIL_M_1_MKRN240023753-1A_22HGGMLT4_L7_1	50.7962161993	51.0	150.0	17461669.0	27.2727272727
RIL_M_1_MKRN240023753-1A_22HGGMLT4_L7_2	51.7786817501	51.0	150.0	17461669.0	27.2727272727
RIL_M_1_MKRN240023753-1A_22HGLTLT4_L1_1	57.1653001362	51.0	150.0	20821354.0	18.1818181818
RIL_M_1_MKRN240023753-1A_22HGLTLT4_L1_2	58.276738289	51.0	150.0	20821354.0	18.1818181818
RIL_M_2_MKRN240023754-1A_22HGLTLT4_L2_1	70.1758954486	51.0	150.0	34063382.0	18.1818181818
RIL_M_2_MKRN240023754-1A_22HGLTLT4_L2_2	72.8165624101	51.0	150.0	34063382.0	18.1818181818
RIL_M_3_MKRN240023755-1A_22HGLTLT4_L5_1	60.1274746961	52.0	150.0	30200058.0	18.1818181818
RIL_M_3_MKRN240023755-1A_22HGLTLT4_L5_2	62.2298819648	52.0	150.0	30200058.0	27.2727272727
RIL_T_1_MKRN240023750-1A_22HGLTLT4_L3_1	62.3380523111	51.0	150.0	35701235.0	18.1818181818
RIL_T_1_MKRN240023750-1A_22HGLTLT4_L3_2	63.6846749377	51.0	150.0	35701235.0	18.1818181818
RIL_T_2_MKRN240023751-1A_22HGLTLT4_L1_1	64.4270961966	51.0	150.0	45192288.0	18.1818181818
RIL_T_2_MKRN240023751-1A_22HGLTLT4_L1_2	65.8492012002	51.0	150.0	45192288.0	18.1818181818
RIL_T_3_MKRN240023752-1A_22HGLTLT4_L1_1	62.0461870034	51.0	150.0	37836188.0	18.1818181818
RIL_T_3_MKRN240023752-1A_22HGLTLT4_L1_2	64.0001190206	51.0	150.0	37836188.0	18.1818181818
RIL_WT_1_MKRN240023747-1A_22HGLTLT4_L1_1	64.422671114	50.0	150.0	39962239.0	18.1818181818
RIL_WT_1_MKRN240023747-1A_22HGLTLT4_L1_2	65.7801192277	50.0	150.0	39962239.0	18.1818181818
RIL_WT_2_MKRN240023748-1A_22HGLTLT4_L1_1	62.3673574394	50.0	150.0	37110220.0	18.1818181818
RIL_WT_2_MKRN240023748-1A_22HGLTLT4_L1_2	64.3021862854	50.0	150.0	37110220.0	18.1818181818
RIL_WT_3_MKRN240023749-1A_22HGLTLT4_L1_1	66.0846053799	50.0	150.0	45841727.0	18.1818181818
RIL_WT_3_MKRN240023749-1A_22HGLTLT4_L1_2	67.9127744563	50.0	150.0	45841727.0	18.1818181818
RIL_dKO_1_MKRN240023756-1A_22HGLTLT4_L1_1	63.1324540077	50.0	150.0	45365185.0	18.1818181818
RIL_dKO_1_MKRN240023756-1A_22HGLTLT4_L1_2	64.9860624136	50.0	150.0	45365185.0	18.1818181818
RIL_dKO_2_MKRN240023757-1A_22HGLTLT4_L1_1	60.7870234928	51.0	150.0	32744889.0	18.1818181818
RIL_dKO_2_MKRN240023757-1A_22HGLTLT4_L1_2	62.2538960853	51.0	150.0	32744889.0	18.1818181818
RIL_dKO_3_MKRN240023758-1A_22HGLTLT4_L2_1	74.0295770157	50.0	150.0	36523629.0	18.1818181818
RIL_dKO_3_MKRN240023758-1A_22HGLTLT4_L2_2	76.4864823718	50.0	150.0	36523629.0	18.1818181818
