"","hgnc_symbol","description"
"ENSG00000000457","SCYL3","SCY1 like pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:19285]"
"ENSG00000000460","FIRRM","FIGNL1 interacting regulator of recombination and mitosis [Source:HGNC Symbol;Acc:HGNC:25565]"
"ENSG00000000971","CFH","complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]"
"ENSG00000001460","STPG1","sperm tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:28070]"
"ENSG00000001461","NIPAL3","NIPA like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233]"
"ENSG00000003137","CYP26B1","cytochrome P450 family 26 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:20581]"
"ENSG00000003393","ALS2","alsin Rho guanine nucleotide exchange factor ALS2 [Source:HGNC Symbol;Acc:HGNC:443]"
"ENSG00000003400","CASP10","caspase 10 [Source:HGNC Symbol;Acc:HGNC:1500]"
"ENSG00000003402","CFLAR","CASP8 and FADD like apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:1876]"
"ENSG00000003436","TFPI","tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760]"
"ENSG00000003509","NDUFAF7","NADH:ubiquinone oxidoreductase complex assembly factor 7 [Source:HGNC Symbol;Acc:HGNC:28816]"
"ENSG00000004455","AK2","adenylate kinase 2 [Source:HGNC Symbol;Acc:HGNC:362]"
"ENSG00000004487","KDM1A","lysine demethylase 1A [Source:HGNC Symbol;Acc:HGNC:29079]"
"ENSG00000005436","GCFC2","GC-rich sequence DNA-binding factor 2 [Source:HGNC Symbol;Acc:HGNC:1317]"
"ENSG00000005448","WDR54","WD repeat domain 54 [Source:HGNC Symbol;Acc:HGNC:25770]"
"ENSG00000006555","TTC22","tetratricopeptide repeat domain 22 [Source:HGNC Symbol;Acc:HGNC:26067]"
"ENSG00000006607","FARP2","FERM, ARH/RhoGEF and pleckstrin domain protein 2 [Source:HGNC Symbol;Acc:HGNC:16460]"
"ENSG00000007001","UPP2","uridine phosphorylase 2 [Source:HGNC Symbol;Acc:HGNC:23061]"
"ENSG00000007341","ST7L","suppression of tumorigenicity 7 like [Source:HGNC Symbol;Acc:HGNC:18441]"
"ENSG00000007908","SELE","selectin E [Source:HGNC Symbol;Acc:HGNC:10718]"
"ENSG00000007923","DNAJC11","DnaJ heat shock protein family (Hsp40) member C11 [Source:HGNC Symbol;Acc:HGNC:25570]"
"ENSG00000007933","FMO3","flavin containing dimethylaniline monoxygenase 3 [Source:HGNC Symbol;Acc:HGNC:3771]"
"ENSG00000007968","E2F2","E2F transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:3114]"
"ENSG00000008128","CDK11A","cyclin dependent kinase 11A [Source:HGNC Symbol;Acc:HGNC:1730]"
"ENSG00000008130","NADK","NAD kinase [Source:HGNC Symbol;Acc:HGNC:29831]"
"ENSG00000008869","HEATR5B","HEAT repeat containing 5B [Source:HGNC Symbol;Acc:HGNC:29273]"
"ENSG00000009307","CSDE1","cold shock domain containing E1 [Source:HGNC Symbol;Acc:HGNC:29905]"
"ENSG00000009724","MASP2","MBL associated serine protease 2 [Source:HGNC Symbol;Acc:HGNC:6902]"
"ENSG00000009780","FAM76A","family with sequence similarity 76 member A [Source:HGNC Symbol;Acc:HGNC:28530]"
"ENSG00000009790","TRAF3IP3","TRAF3 interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:30766]"
"ENSG00000010072","SPRTN","SprT-like N-terminal domain [Source:HGNC Symbol;Acc:HGNC:25356]"
"ENSG00000010165","METTL13","methyltransferase 13, eEF1A N-terminus and K55 [Source:HGNC Symbol;Acc:HGNC:24248]"
"ENSG00000010803","SCMH1","Scm polycomb group protein homolog 1 [Source:HGNC Symbol;Acc:HGNC:19003]"
"ENSG00000010932","FMO1","flavin containing dimethylaniline monoxygenase 1 [Source:HGNC Symbol;Acc:HGNC:3769]"
"ENSG00000011007","ELOA","elongin A [Source:HGNC Symbol;Acc:HGNC:11620]"
"ENSG00000011009","LYPLA2","lysophospholipase 2 [Source:HGNC Symbol;Acc:HGNC:6738]"
"ENSG00000011021","CLCN6","chloride voltage-gated channel 6 [Source:HGNC Symbol;Acc:HGNC:2024]"
"ENSG00000011523","CEP68","centrosomal protein 68 [Source:HGNC Symbol;Acc:HGNC:29076]"
"ENSG00000011566","MAP4K3","mitogen-activated protein kinase kinase kinase kinase 3 [Source:HGNC Symbol;Acc:HGNC:6865]"
