"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000142611",428.122662582851,0.427038093580085,0.175216447061824,0.00243085076950412,0.0237683618761825
"ENSG00000157911",904.123074683994,-0.152578657647585,0.0881846923202565,0.0591556302583493,0.217741689540367
"ENSG00000142655",616.270218909339,-0.443468209634477,0.166285443947382,0.00120452777950305,0.0138883964925558
"ENSG00000149527",11.1072751630185,-0.0561960180179825,0.224405608980682,0.304768625672082,0.573830818269052
"ENSG00000171621",276.949375065308,1.29687101320397,0.207917417463701,2.62895508942182e-11,4.59056004075963e-09
"ENSG00000287727",2.62864243345398,0.00710708780304863,0.218616073501387,0.845889063069959,NA
"ENSG00000173614",113.778402691589,-0.434215444904834,0.216857814174436,0.00629018871835136,0.0472056283009063
"ENSG00000215720",1.28949273106661,0.0190942093100848,0.222216459729603,0.336313147212754,NA
"ENSG00000233623",1.73513902826577,0.0297079674139679,0.223206288327943,0.192069663912114,NA
"ENSG00000204624",19.1748972198071,-0.278406683794632,0.423968175657077,0.0348251574385653,0.154287596751487
"ENSG00000142606",12.2366783561807,0.315523088881398,0.594759427178607,0.0170205696859343,0.09437970854857
"ENSG00000225931",14.2260099238865,-0.0524202239920756,0.221076612484347,0.388192911142406,0.650965633164443
"ENSG00000171729",641.473018617914,0.646161562271046,0.252604914326839,0.000862322080032628,0.0108474490941526
"ENSG00000157916",3368.48405468018,0.133650726844467,0.0769196848021628,0.0636710278990693,0.227298184911952
"ENSG00000157881",1520.27427173123,0.0279769023743517,0.0905042621857237,0.732464484920858,0.882847526413208
"ENSG00000048707",897.077385796852,0.532567575897737,0.145570459456932,3.42384781947776e-05,0.000863199387521063
"ENSG00000162444",10.632773421712,-0.0307249756184202,0.215788780366448,0.6007528262196,0.804251479848724
"ENSG00000180758",513.955361591144,0.323858536177938,0.23719143307363,0.0333278169226086,0.14996744712524
"ENSG00000184677",1361.52426547694,-0.00653537072507089,0.099624266352275,0.960121936489795,0.98412904931166
"ENSG00000131697",667.694397185935,-0.055284744225669,0.144541358610842,0.607377447406882,0.80745994354148
"ENSG00000197921",1.51119798103088,0.00863112151783983,0.220735904500521,0.680899867681281,NA
"ENSG00000204138",2232.6113988931,0.049331320141124,0.0943548497145567,0.564818723192304,0.781439079887564
"ENSG00000090020",770.885819507251,0.275206019072419,0.146555254323841,0.0204479957975537,0.107620054012019
"ENSG00000158006",519.922478513701,0.128673491968753,0.120882459748746,0.207115631719113,0.463432709711569
"ENSG00000214812",0.989028771569844,0.00190262219783753,0.22072243369712,0.912939681166171,NA
"ENSG00000169403",62.778907116603,0.613977184658284,0.318709794410753,0.00392564491706904,0.0338026134158245
"ENSG00000171612",2046.00560050026,-0.5923922125094,0.182647504270462,0.00011507279561091,0.00227390856179992
"ENSG00000188910",7.00608664532599,3.85313688201907,1.19751416747595,0.000211784351597415,0.00367335608883387
"ENSG00000158161",936.325905729543,-0.0471384175186332,0.0919159352774064,0.57185053686304,0.785301997432381
"ENSG00000189337",18.2576103105303,-0.0187768693732277,0.198745285228419,0.83023004878749,0.927471560407285
"ENSG00000130939",2176.31643376149,-0.0780939428247373,0.0749447944209648,0.267044274752427,0.533500993344783
"ENSG00000175147",68.6395494061665,0.457532086473903,0.525823885008111,0.0196051508356041,0.104438116507648
"ENSG00000060656",335.084670354526,-0.475668734380975,0.257710320099475,0.00707672144587657,0.0513436921522647
"ENSG00000134698",493.02035166076,-0.267618382624532,0.147072946649091,0.0239345941560535,0.119508449236715
"ENSG00000272420",3.27752003275199,0.0227788437898146,0.218987142954358,0.586401246948058,NA
"ENSG00000232273",1.64429522836431,0.00192007614694946,0.219890589742119,0.94761031019182,NA
"ENSG00000130940",500.982581999105,0.484557499916323,0.240876544869116,0.00502630787732685,0.0408126311944474
"ENSG00000163879",7.04798816944533,-0.0178693191117118,0.216400600173752,0.717376636741602,0.874332867330705
"ENSG00000227527",3.46151385949442,-0.0611625172582574,0.229126757082341,0.175078776238658,NA
"ENSG00000116954",330.461745485304,-0.400984925645631,0.146555143145804,0.00118231377818423,0.013709245012236
"ENSG00000044012",2.61425077185295,0.032615195789069,0.220688505276873,0.450513619761621,NA
"ENSG00000179051",6032.1678149934,-0.14806822226208,0.113278444508597,0.128740747578708,0.352330980214072
"ENSG00000215895",20.1339521913639,0.0548461153467439,0.211663414110241,0.505489535645966,0.740869444247735
"ENSG00000126067",4218.458708455,0.00670202101983826,0.0933311666795267,0.938097904372905,0.974870268578653
"ENSG00000272078",24.5220015218783,0.0497893189244908,0.213714962846535,0.511956107029249,0.746023901795132
"ENSG00000054118",5331.03970559512,-0.130938667745764,0.0643350082688552,0.032612530236814,0.147728498154288
"ENSG00000237749",2.61988020967725,0.0220307739440681,0.219715913334254,0.565451791652052,NA
"ENSG00000158315",2.00465737477619,-0.0409280109397442,0.223796862178247,0.275033715916074,NA
"ENSG00000146463",1654.45381163465,-0.0193679439817178,0.0913316916243593,0.813771400119635,0.919664486039739
"ENSG00000142686",303.300027166808,0.161055961094014,0.152927633030072,0.168352119645029,0.412288578420299
"ENSG00000117148",3.47692961644547,0.0139741335452933,0.219978190111167,0.647730442022626,NA
"ENSG00000230585",2.75856471218865,-0.024065056175423,0.219697158987103,0.541515443249899,NA
"ENSG00000117000",618.608936884335,-0.0709709070820038,0.130456742406037,0.505208337276877,0.740662259219189
"ENSG00000092853",1238.10703923561,0.523463056164169,0.179652575082239,0.000440658282028256,0.00650597918831962
"ENSG00000134697",1476.09196582665,-0.0398031212636868,0.105783366009051,0.640894288828229,0.829376490067743
"ENSG00000116151",245.279956401431,-0.0293753764096344,0.146824281638655,0.790483578195695,0.91172955097071
"ENSG00000006555",20.8777930741163,-0.0565372743749195,0.210987899686723,0.50135659594758,0.737343403658003
"ENSG00000236111",1.90018627484843,-0.0111677704252055,0.219475371913942,0.722126947702601,NA
"ENSG00000214114",406.22594820087,0.245112926319584,0.151175196512513,0.0404724379662186,0.169780428151196
"ENSG00000116544",116.863281304511,0.310459655873302,0.311744607268515,0.0464590506195489,0.185793774554596
"ENSG00000236723",2.76435607976011,0.0108180509702871,0.219995383786176,0.701968454595082,NA
"ENSG00000117016",20.4010587765622,-0.0512557363345861,0.211131664314497,0.531529535533996,0.760404629375876
"ENSG00000163866",1037.39732071766,0.0474680229870684,0.100577884865357,0.596440677947346,0.801729290268231
"ENSG00000232762",0.732340484620772,0.00684870907184473,0.221371397796994,0.866245872374868,NA
"ENSG00000162384",748.276271563806,0.0133736843469211,0.110047234972607,0.883562827479077,0.950190380334259
"ENSG00000162391",17.0642603762065,-0.201686594326105,0.337381864889175,0.0387416934075275,0.165152383164484
"ENSG00000117859",3877.07691304811,-0.312846017615693,0.0863517988755115,9.62728389004481e-05,0.00199351739387929
"ENSG00000162396",255.578899285798,-0.164420637317537,0.131034576449092,0.125984188037758,0.348071330407071
"ENSG00000284686",2.0609620523612,-0.0361045415233806,0.224271908217471,0.166286527034611,NA
"ENSG00000162378",550.426127722954,-0.0319439156542419,0.112418816747937,0.74086003321744,0.887197711830998
"ENSG00000259818",1.29618011095651,0.00311010713799699,0.220139316517312,0.909104431128853,NA
"ENSG00000243725",19.2966923334388,-0.0863681588590288,0.220621499302024,0.330354729051181,0.597591918871234
"ENSG00000171872",1.22192008101695,0.00503533112730378,0.220683522565883,0.797379041772706,NA
"ENSG00000162407",986.085300670072,-0.448515812750072,0.164910789241464,0.00102983959967249,0.0123641204057945
"ENSG00000163877",403.555589480503,-0.116209394638903,0.128879243723744,0.272347263070877,0.539996320271549
"ENSG00000228929",48.2691507662798,0.0663435697033935,0.192116064252926,0.532058510439853,0.760438738358052
"ENSG00000278967",109.634090445988,0.12216208725219,0.20755370622367,0.286425039376497,0.554706058982316
"ENSG00000157184",590.311278915754,-0.0609606199565228,0.121250493272057,0.545121242653681,0.770201881037175
"ENSG00000198815",1571.76648629113,-0.0724959537576247,0.109850422308551,0.433090870841123,0.687814394463309
"ENSG00000134744",1792.26006797745,-0.0269900537506325,0.117503615720207,0.784211660007058,0.90845091545237
"ENSG00000162385",720.34731809288,-0.0198441728291548,0.115821778521647,0.836730063712321,0.930683400512634
"ENSG00000123080",273.09858858608,-0.52640094669617,0.230927087099152,0.00237811177467312,0.0233566846014407
"ENSG00000162415",323.296237241646,-1.38286954776198,0.537992769275056,0.000364267738004666,0.00557295882237973
"ENSG00000162600",232.713642526044,-0.262469081555568,0.226154329127923,0.0640406271839161,0.228038614585165
"ENSG00000116704",1525.74431393604,-0.00939156345643645,0.11712857839761,0.924804227082589,0.969434574245201
"ENSG00000157193",344.431249094538,-0.0522760596579121,0.143900236818749,0.633512421753181,0.824015727395447
"ENSG00000116205",274.693694397106,0.18293659906001,0.123213857871988,0.0783909881154393,0.258644684625069
"ENSG00000233994",4.1930303020546,0.0390183465677691,0.220556079815267,0.432792499991926,NA
"ENSG00000162607",2499.82646647126,0.258449512328831,0.133259795718033,0.0202556220232495,0.106899766330198
"ENSG00000154027",1.45619873823523,-0.0356710176908399,0.225042357195489,0.0810979178951355,NA
"ENSG00000137960",850.623788963928,0.199457251361841,0.17034847665386,0.108930023683543,0.317574125877851
"ENSG00000237852",0.864349600540758,-0.0182797485360479,0.221656784041125,0.394024548697507,NA
"ENSG00000132855",2244.04692850324,0.345132210572931,0.251031124354619,0.0294621440480754,0.137469004076167
"ENSG00000116675",89.6042255779294,-0.110109405311416,0.18012950347401,0.346786232307191,0.613266917781536
"ENSG00000162433",1070.35571872433,-0.130035139404909,0.162770190875659,0.26692389525948,0.533319170196079
"ENSG00000213625",232.591861207544,0.0983872613998065,0.173892038838421,0.397685294199705,0.658460553441415
"ENSG00000158966",310.60096543454,0.101065132337699,0.143577926209263,0.386769595573357,0.649864531422295
"ENSG00000153898",14.8240335640112,-0.167073850948318,0.293063091328628,0.0637599326348026,0.227481409950494
"ENSG00000125703",243.982617096533,0.0546801473678704,0.134899102897913,0.611497043751845,0.809563775937413
"ENSG00000131233",0.914377107908628,0.0119311332832865,0.220562024646695,0.63202026545905,NA
"ENSG00000137941",137.374269681323,0.0621007610159284,0.177417513313549,0.575015894278202,0.787730007355238
"ENSG00000286548",9.70936387968749,0.017938791061068,0.210002878201874,0.79640066134748,0.91284840362865
"ENSG00000066135",1007.33904008143,-0.0276460673480363,0.0944822969049836,0.758270912690897,0.895622749558809
"ENSG00000117174",423.151413199875,0.139104392704265,0.154067761488887,0.230156271420325,0.492591383499481
"ENSG00000143013",1070.29174491542,0.0287397286792184,0.0916468185611555,0.732574731030111,0.882847526413208
"ENSG00000226084",45.4351975450191,-0.0722530475932628,0.188101903312696,0.50644219651095,0.741546880334269
"ENSG00000134748",1352.74658481449,-0.0151161898969926,0.0966870835701866,0.859504020913536,0.939153514693654
"ENSG00000142892",536.064828846106,0.0154014115068371,0.120449017132372,0.883875050337773,0.95039202523145
"ENSG00000229752",1.41533818830096,0.0256749380342188,0.221895223840676,0.364078089431603,NA
"ENSG00000197273",20.2331975274755,1.36215755761004,0.547902039020531,0.000525990116079118,0.00739317376779937
"ENSG00000230787",6.3512702391339,0.0099968555109792,0.214608039353233,0.858363994800339,0.938765234493873
"ENSG00000116641",1955.15039209788,0.305329099238917,0.126966281917084,0.00502741497698122,0.0408126311944474
