"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000142611",428.122662582851,2.29636335031026,0.164927770173888,3.03610652160506e-45,6.89196180404348e-42
"ENSG00000157911",904.123074683994,-0.189970787407317,0.0903928599570837,0.0240652907291579,0.120592074956266
"ENSG00000142655",616.270218909339,-0.327438721126273,0.160401782037969,0.0132214900115395,0.0784647903952801
"ENSG00000149527",11.1072751630185,0.0153213374151879,0.241853884803179,0.83627421318578,0.937163820515505
"ENSG00000171621",276.949375065308,1.29534255134132,0.209019336802755,4.03969115754987e-11,3.1085081110638e-09
"ENSG00000287727",2.62864243345398,0.0159221947168139,0.248486970959503,0.727073503377773,NA
"ENSG00000173614",113.778402691589,-0.478136782837048,0.218374321476282,0.00449286271478392,0.0351228527337391
"ENSG00000215720",1.28949273106661,0.0275058924700176,0.253712741784964,0.245370774844173,NA
"ENSG00000233623",1.73513902826577,0.04225548945001,0.255629580353341,0.155395218950758,NA
"ENSG00000204624",19.1748972198071,0.164869100564993,0.273953089745539,0.185362163352503,0.447094818233689
"ENSG00000142606",12.2366783561807,0.205072317008812,0.34060072677854,0.0700302433583216,0.245606260986311
"ENSG00000225931",14.2260099238865,0.00187687212816471,0.238900102952387,0.984045284581855,0.993951964403276
"ENSG00000171729",641.473018617914,0.556362961911613,0.249440108465727,0.00311948243221092,0.026471869611659
"ENSG00000157916",3368.48405468018,0.0798611168948348,0.076876825774297,0.274875763602014,0.555378712395702
"ENSG00000157881",1520.27427173123,-0.108409481007603,0.0943026539409401,0.212539272586848,0.482584794970887
"ENSG00000048707",897.077385796852,0.584437366747367,0.145158587875047,7.97507582013e-06,0.000177050582999463
"ENSG00000162444",10.632773421712,-0.00992538288921715,0.239982008701046,0.889467553363848,0.959408278877231
"ENSG00000180758",513.955361591144,0.279279677110603,0.221805982107452,0.0680180075726042,0.241399759955533
"ENSG00000184677",1361.52426547694,-0.0273560501359384,0.102601755484239,0.800809799923229,0.921201148939745
"ENSG00000131697",667.694397185935,0.114790741844253,0.156577824205588,0.356856176346275,0.64052042343158
"ENSG00000197921",1.51119798103088,0.0240320627553918,0.252383422159193,0.368699069769318,NA
"ENSG00000204138",2232.6113988931,0.104745402835527,0.0975807142060681,0.243826122099678,0.519156100050435
"ENSG00000090020",770.885819507251,0.317812523024303,0.147879813859959,0.0110653412136838,0.0686293020630117
"ENSG00000158006",519.922478513701,0.108883381100909,0.122280220416847,0.308883882050981,0.592076345582205
"ENSG00000214812",0.989028771569844,0.00922214674951643,0.251287371170183,0.693131541586899,NA
"ENSG00000169403",62.778907116603,1.16042677890081,0.298020272336297,6.1794080626839e-06,0.000142589644750114
"ENSG00000171612",2046.00560050026,-0.391033370624665,0.177436355287374,0.00606914979690357,0.0443524186365267
"ENSG00000188910",7.00608664532599,0.263799832839504,0.500110720013964,0.00827445953270304,0.0554408019411775
"ENSG00000158161",936.325905729543,0.024713591237389,0.0939170196954413,0.774696007893991,0.909418154949685
"ENSG00000189337",18.2576103105303,-0.0905341169785197,0.237287856275247,0.416150136251656,0.693074695004592
"ENSG00000130939",2176.31643376149,-0.27179471157045,0.0789306484657266,0.000278418325050973,0.00369596256061818
"ENSG00000175147",68.6395494061665,0.370160181169074,0.422760170950344,0.0400817304251335,0.170664530954379
"ENSG00000060656",335.084670354526,-0.185258325726776,0.201606644188817,0.181352943733625,0.441698728799975
"ENSG00000134698",493.02035166076,0.0497746621406058,0.129865849547513,0.655194878637383,0.848559308520527
"ENSG00000272420",3.27752003275199,0.0754315282468824,0.261451359171635,0.200927990897249,NA
"ENSG00000232273",1.64429522836431,-0.0217307228457199,0.25170161653432,0.471037030320983,NA
"ENSG00000130940",500.982581999105,0.742343224640063,0.236824064151052,0.000152942755730698,0.00222670946027868
"ENSG00000163879",7.04798816944533,-0.04729868796532,0.250006023700318,0.446988070736125,0.716127336971154
"ENSG00000227527",3.46151385949442,-0.0764404008198922,0.26223885730397,0.183078471844589,NA
"ENSG00000116954",330.461745485304,-0.046834143724773,0.12554335619613,0.663723146225968,0.854171379453163
"ENSG00000044012",2.61425077185295,-0.0563717605711688,0.256727009260993,0.239914332898916,NA
"ENSG00000179051",6032.1678149934,-0.196999639189073,0.116543714377277,0.0565991444007554,0.215358654987272
"ENSG00000215895",20.1339521913639,-0.137313793971368,0.272940163618827,0.19568675633527,0.460630397774548
"ENSG00000126067",4218.458708455,-0.0289688557807157,0.0955743059263083,0.745128622151786,0.89494715550723
"ENSG00000272078",24.5220015218783,0.0805931903630232,0.246559706583638,0.401013514800826,0.680662251498552
"ENSG00000054118",5331.03970559512,-0.133709273531058,0.0648148887633081,0.0327321745647317,0.149200876027994
"ENSG00000237749",2.61988020967725,-0.0333715552720214,0.251348680960886,0.452218508704984,NA
"ENSG00000158315",2.00465737477619,-0.0270582382251502,0.249262931091403,0.573034265139534,NA
"ENSG00000146463",1654.45381163465,-0.0096452035662205,0.0934843219868357,0.91066827851195,0.96606513735242
"ENSG00000142686",303.300027166808,0.015657432573578,0.14417561790547,0.891162418087763,0.959601714819614
"ENSG00000117148",3.47692961644547,-0.00434413417819368,0.249144077396078,0.908734212520894,NA
"ENSG00000230585",2.75856471218865,-0.0181221260755111,0.247772297836503,0.714456075690199,NA
"ENSG00000117000",618.608936884335,-0.166867377047208,0.142993677521226,0.159732035994011,0.409823929591867
"ENSG00000092853",1238.10703923561,0.336576976974332,0.172021574836949,0.0152837651351213,0.0877222423684584
"ENSG00000134697",1476.09196582665,-0.0865162658509043,0.110096962352886,0.365142169625561,0.647809867174695
"ENSG00000116151",245.279956401431,0.0624017469081555,0.156970907040874,0.61458497566567,0.826730604302857
"ENSG00000006555",20.8777930741163,0.18810426140107,0.299918309313576,0.132577280923144,0.368304026551062
"ENSG00000236111",1.90018627484843,-0.0465852571787019,0.255854325428681,0.207045383782996,NA
"ENSG00000214114",406.22594820087,0.0239955502926837,0.134656657760158,0.832738728132223,0.935510999250304
"ENSG00000116544",116.863281304511,0.945862760619362,0.33656741037794,0.000304885100603456,0.00399186260054705
"ENSG00000236723",2.76435607976011,0.0458274141280233,0.255898903241562,0.205375296548209,NA
"ENSG00000117016",20.4010587765622,0.322895833249057,0.460145431444414,0.0406665889243664,0.172226038914761
"ENSG00000163866",1037.39732071766,-0.0105899710264628,0.1029594757801,0.907527827538584,0.965275268059622
"ENSG00000232762",0.732340484620772,0.0194914457306888,0.253036026880725,0.246974277900042,NA
"ENSG00000162384",748.276271563806,-0.0308671455715284,0.114256553232122,0.760694022112594,0.902771104533048
"ENSG00000162391",17.0642603762065,-0.0612680389713047,0.23921820460514,0.516951876018069,0.76493580286062
"ENSG00000117859",3877.07691304811,-0.229449573009313,0.0851033829745873,0.00398487030992889,0.0321138035016073
"ENSG00000162396",255.578899285798,-0.171452372600938,0.134163818832808,0.133382430211638,0.36924775266765
"ENSG00000284686",2.0609620523612,0.0255338809996909,0.250591964676201,0.538737106663839,NA
"ENSG00000162378",550.426127722954,0.0256979729064382,0.116293978114271,0.804547250531983,0.923142608811576
"ENSG00000259818",1.29618011095651,-0.0366315027788876,0.255212956895506,0.161558912574416,NA
"ENSG00000243725",19.2966923334388,-0.142547652448938,0.268824917500758,0.210128357471613,0.479267893956856
"ENSG00000171872",1.22192008101695,0.00129822371003301,0.250911368749407,0.956989002171742,NA
"ENSG00000162407",986.085300670072,-0.396047008911572,0.161957875922449,0.00367312215306304,0.0301418428827948
"ENSG00000163877",403.555589480503,-0.104820782555761,0.131382395274171,0.350117131488487,0.634100639057636
"ENSG00000228929",48.2691507662798,-0.468451032927427,0.388260132000885,0.0222342574397163,0.114448445324617
"ENSG00000278967",109.634090445988,0.16388323907424,0.232534133826808,0.234384599964594,0.507926531665517
"ENSG00000157184",590.311278915754,-0.0225059731966401,0.124270564934771,0.83736681287511,0.937573438276474
"ENSG00000198815",1571.76648629113,-0.372771288346652,0.124728096909575,0.000814839355832763,0.00886076808498381
