"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0002181","GO:0002181","cytoplasmic translation",159,-0.713247543142996,-2.11865575645433,9.7784886969524e-09,5.63045379170519e-05,5.19495078458092e-05,3580,"tags=57%, list=13%, signal=49%","ENSG00000169714/ENSG00000125457/ENSG00000156976/ENSG00000177954/ENSG00000149806/ENSG00000161970/ENSG00000197756/ENSG00000144713/ENSG00000173933/ENSG00000130741/ENSG00000143486/ENSG00000163584/ENSG00000241343/ENSG00000114391/ENSG00000184110/ENSG00000060138/ENSG00000102081/ENSG00000147677/ENSG00000115268/ENSG00000136942/ENSG00000031698/ENSG00000178982/ENSG00000083845/ENSG00000138326/ENSG00000089157/ENSG00000140988/ENSG00000114503/ENSG00000161016/ENSG00000008988/ENSG00000198918/ENSG00000105372/ENSG00000108298/ENSG00000168028/ENSG00000145592/ENSG00000110700/ENSG00000143947/ENSG00000131469/ENSG00000122026/ENSG00000089009/ENSG00000108591/ENSG00000163682/ENSG00000108107/ENSG00000148303/ENSG00000142676/ENSG00000175390/ENSG00000090861/ENSG00000170889/ENSG00000105193/ENSG00000174748/ENSG00000118181/ENSG00000182899/ENSG00000198755/ENSG00000134419/ENSG00000162244/ENSG00000138617/ENSG00000112306/ENSG00000204628/ENSG00000142534/ENSG00000116251/ENSG00000104408/ENSG00000164587/ENSG00000137818/ENSG00000149273/ENSG00000156482/ENSG00000197958/ENSG00000231500/ENSG00000166441/ENSG00000070756/ENSG00000142937/ENSG00000198034/ENSG00000125691/ENSG00000177600/ENSG00000109475/ENSG00000105640/ENSG00000167526/ENSG00000174444/ENSG00000188846/ENSG00000071082/ENSG00000147604/ENSG00000122406/ENSG00000100129/ENSG00000100316/ENSG00000147403/ENSG00000063177/ENSG00000137154/ENSG00000198242/ENSG00000171863/ENSG00000145425/ENSG00000186468/ENSG00000142541"
"GO:1990868","GO:1990868","response to chemokine",63,0.806581831739705,2.06971917388563,1.35068091364349e-07,0.000259240690025307,0.000239189002496796,1511,"tags=30%, list=6%, signal=29%","ENSG00000144476/ENSG00000163823/ENSG00000121966/ENSG00000169429/ENSG00000124875/ENSG00000163739/ENSG00000078401/ENSG00000064651/ENSG00000120129/ENSG00000126353/ENSG00000115009/ENSG00000183625/ENSG00000163734/ENSG00000006210/ENSG00000185043/ENSG00000163874/ENSG00000081041/ENSG00000184451/ENSG00000067560"
"GO:1990869","GO:1990869","cellular response to chemokine",63,0.806581831739705,2.06971917388563,1.35068091364349e-07,0.000259240690025307,0.000239189002496796,1511,"tags=30%, list=6%, signal=29%","ENSG00000144476/ENSG00000163823/ENSG00000121966/ENSG00000169429/ENSG00000124875/ENSG00000163739/ENSG00000078401/ENSG00000064651/ENSG00000120129/ENSG00000126353/ENSG00000115009/ENSG00000183625/ENSG00000163734/ENSG00000006210/ENSG00000185043/ENSG00000163874/ENSG00000081041/ENSG00000184451/ENSG00000067560"
"GO:0070098","GO:0070098","chemokine-mediated signaling pathway",55,0.804107408898453,2.02904003298988,1.42046475645023e-06,0.0020447590169101,0.00188660148047481,1469,"tags=27%, list=5%, signal=26%","ENSG00000144476/ENSG00000163823/ENSG00000121966/ENSG00000169429/ENSG00000124875/ENSG00000163739/ENSG00000078401/ENSG00000126353/ENSG00000115009/ENSG00000183625/ENSG00000163734/ENSG00000006210/ENSG00000185043/ENSG00000081041/ENSG00000184451"
"GO:0007059","GO:0007059","chromosome segregation",397,0.532395233869895,1.67927539361666,2.07360543673712e-06,0.00238796402094647,0.00220326034509732,4335,"tags=40%, list=16%, signal=34%","ENSG00000099812/ENSG00000120129/ENSG00000133863/ENSG00000186166/ENSG00000214367/ENSG00000205683/ENSG00000091436/ENSG00000276043/ENSG00000113580/ENSG00000101057/ENSG00000123219/ENSG00000139734/ENSG00000161800/ENSG00000075624/ENSG00000171320/ENSG00000154839/ENSG00000196924/ENSG00000012048/ENSG00000159433/ENSG00000121957/ENSG00000114346/ENSG00000168502/ENSG00000112029/ENSG00000131470/ENSG00000167702/ENSG00000100162/ENSG00000040275/ENSG00000105173/ENSG00000109805/ENSG00000088325/ENSG00000175305/ENSG00000136014/ENSG00000114166/ENSG00000094804/ENSG00000146918/ENSG00000146670/ENSG00000137807/ENSG00000203760/ENSG00000103769/ENSG00000100038/ENSG00000144554/ENSG00000121152/ENSG00000138160/ENSG00000152253/ENSG00000138092/ENSG00000067560/ENSG00000151725/ENSG00000163535/ENSG00000147874/ENSG00000161888/ENSG00000170312/ENSG00000165480/ENSG00000122952/ENSG00000129810/ENSG00000118193/ENSG00000163611/ENSG00000174442/ENSG00000137812/ENSG00000131351/ENSG00000101350/ENSG00000169689/ENSG00000178999/ENSG00000148335/ENSG00000186185/ENSG00000168061/ENSG00000120334/ENSG00000101421/ENSG00000136492/ENSG00000136824/ENSG00000073584/ENSG00000137814/ENSG00000123485/ENSG00000136861/ENSG00000164695/ENSG00000106635/ENSG00000148773/ENSG00000178295/ENSG00000131165/ENSG00000074054/ENSG00000196510/ENSG00000131462/ENSG00000130695/ENSG00000090889/ENSG00000101367/ENSG00000175063/ENSG00000131747/ENSG00000164109/ENSG00000123473/ENSG00000237649/ENSG00000138778/ENSG00000113810/ENSG00000184661/ENSG00000175203/ENSG00000086065/ENSG00000205078/ENSG00000182628/ENSG00000142945/ENSG00000163029/ENSG00000135476/ENSG00000117724/ENSG00000197102/ENSG00000128944/ENSG00000134108/ENSG00000134057/ENSG00000132341/ENSG00000164828/ENSG00000004897/ENSG00000013810/ENSG00000126787/ENSG00000117399/ENSG00000072609/ENSG00000121621/ENSG00000166595/ENSG00000101639/ENSG00000204899/ENSG00000101782/ENSG00000183955/ENSG00000068903/ENSG00000053900/ENSG00000163539/ENSG00000116213/ENSG00000166797/ENSG00000089685/ENSG00000196230/ENSG00000183765/ENSG00000058804/ENSG00000153147/ENSG00000153044/ENSG00000217442/ENSG00000082014/ENSG00000119541/ENSG00000178222/ENSG00000156970/ENSG00000120253/ENSG00000180198/ENSG00000137804/ENSG00000092036/ENSG00000164114/ENSG00000149636/ENSG00000075188/ENSG00000085415/ENSG00000080986/ENSG00000187531/ENSG00000124486/ENSG00000062650/ENSG00000141552/ENSG00000138071/ENSG00000094880/ENSG00000031691/ENSG00000131023/ENSG00000112742/ENSG00000119048/ENSG00000117650/ENSG00000110987/ENSG00000071539/ENSG00000134982/ENSG00000151503/ENSG00000115091"
"GO:0045216","GO:0045216","cell-cell junction organization",178,0.624248706650599,1.82683160473175,4.16203310444562e-06,0.00399416443589965,0.00368522475055036,3252,"tags=39%, list=12%, signal=34%","ENSG00000196415/ENSG00000174469/ENSG00000083307/ENSG00000133216/ENSG00000149564/ENSG00000163251/ENSG00000170927/ENSG00000163347/ENSG00000081138/ENSG00000113361/ENSG00000101665/ENSG00000111199/ENSG00000164251/ENSG00000027075/ENSG00000140859/ENSG00000113946/ENSG00000155366/ENSG00000173706/ENSG00000139880/ENSG00000182963/ENSG00000108797/ENSG00000061273/ENSG00000102981/ENSG00000154639/ENSG00000096696/ENSG00000075624/ENSG00000142627/ENSG00000163362/ENSG00000196924/ENSG00000163558/ENSG00000173801/ENSG00000171914/ENSG00000057294/ENSG00000114346/ENSG00000072163/ENSG00000154162/ENSG00000166949/ENSG00000039068/ENSG00000170558/ENSG00000151422/ENSG00000197879/ENSG00000067560/ENSG00000035403/ENSG00000104067/ENSG00000232434/ENSG00000125266/ENSG00000046604/ENSG00000140832/ENSG00000183853/ENSG00000044115/ENSG00000163349/ENSG00000072062/ENSG00000137076/ENSG00000165215/ENSG00000182197/ENSG00000178209/ENSG00000071127/ENSG00000124171/ENSG00000137845/ENSG00000133961/ENSG00000253958/ENSG00000169562/ENSG00000067900/ENSG00000197822/ENSG00000170248/ENSG00000184363/ENSG00000013297/ENSG00000136280/ENSG00000186575"
"GO:1901888","GO:1901888","regulation of cell junction assembly",172,0.623673957390007,1.82636347526101,5.91977644635132e-06,0.0048694389682987,0.00449279875559927,2418,"tags=28%, list=9%, signal=26%","ENSG00000174469/ENSG00000133216/ENSG00000112139/ENSG00000111249/ENSG00000141668/ENSG00000196083/ENSG00000102359/ENSG00000163251/ENSG00000163347/ENSG00000107984/ENSG00000197747/ENSG00000027075/ENSG00000076716/ENSG00000176697/ENSG00000188157/ENSG00000158856/ENSG00000144824/ENSG00000130545/ENSG00000142627/ENSG00000185008/ENSG00000164741/ENSG00000166949/ENSG00000132639/ENSG00000135333/ENSG00000116473/ENSG00000185070/ENSG00000172260/ENSG00000197879/ENSG00000081189/ENSG00000067560/ENSG00000136238/ENSG00000035403/ENSG00000104067/ENSG00000109756/ENSG00000108861/ENSG00000110880/ENSG00000127603/ENSG00000124145/ENSG00000090020/ENSG00000099250/ENSG00000072062/ENSG00000153707/ENSG00000137076/ENSG00000165215/ENSG00000074054/ENSG00000173517/ENSG00000165527/ENSG00000127314/ENSG00000137801"
"GO:0002064","GO:0002064","epithelial cell development",178,0.617236825968635,1.80631169799914,7.11326218787524e-06,0.0051197704597232,0.00472376766607978,2523,"tags=35%, list=9%, signal=32%","ENSG00000121966/ENSG00000083307/ENSG00000136842/ENSG00000115112/ENSG00000163251/ENSG00000128567/ENSG00000188064/ENSG00000124762/ENSG00000170927/ENSG00000163347/ENSG00000136160/ENSG00000077092/ENSG00000169856/ENSG00000100311/ENSG00000134202/ENSG00000164251/ENSG00000101384/ENSG00000134250/ENSG00000140575/ENSG00000173706/ENSG00000149418/ENSG00000117707/ENSG00000092820/ENSG00000106004/ENSG00000129116/ENSG00000203883/ENSG00000164488/ENSG00000142627/ENSG00000172819/ENSG00000148400/ENSG00000083857/ENSG00000136068/ENSG00000196924/ENSG00000179348/ENSG00000134352/ENSG00000105810/ENSG00000116473/ENSG00000170558/ENSG00000131759/ENSG00000110723/ENSG00000151422/ENSG00000213694/ENSG00000175893/ENSG00000116016/ENSG00000114790/ENSG00000035403/ENSG00000157483/ENSG00000104067/ENSG00000109756/ENSG00000172037/ENSG00000182871/ENSG00000175707/ENSG00000078237/ENSG00000123728/ENSG00000100644/ENSG00000165215/ENSG00000086062/ENSG00000133794/ENSG00000178209/ENSG00000127314/ENSG00000213445/ENSG00000002330"
"GO:0098813","GO:0098813","nuclear chromosome segregation",294,0.544866190546183,1.67846955662503,1.20506096984381e-05,0.00770971229373409,0.00711338329216577,4721,"tags=43%, list=17%, signal=36%","ENSG00000099812/ENSG00000120129/ENSG00000133863/ENSG00000205683/ENSG00000091436/ENSG00000276043/ENSG00000101057/ENSG00000123219/ENSG00000161800/ENSG00000075624/ENSG00000154839/ENSG00000196924/ENSG00000114346/ENSG00000112029/ENSG00000131470/ENSG00000167702/ENSG00000040275/ENSG00000105173/ENSG00000109805/ENSG00000088325/ENSG00000175305/ENSG00000136014/ENSG00000114166/ENSG00000094804/ENSG00000146918/ENSG00000146670/ENSG00000137807/ENSG00000103769/ENSG00000144554/ENSG00000121152/ENSG00000138160/ENSG00000152253/ENSG00000067560/ENSG00000161888/ENSG00000170312/ENSG00000165480/ENSG00000122952/ENSG00000129810/ENSG00000118193/ENSG00000163611/ENSG00000174442/ENSG00000137812/ENSG00000101350/ENSG00000178999/ENSG00000186185/ENSG00000101421/ENSG00000136492/ENSG00000136824/ENSG00000073584/ENSG00000136861/ENSG00000164695/ENSG00000106635/ENSG00000178295/ENSG00000131165/ENSG00000074054/ENSG00000196510/ENSG00000131462/ENSG00000090889/ENSG00000101367/ENSG00000175063/ENSG00000131747/ENSG00000164109/ENSG00000237649/ENSG00000138778/ENSG00000113810/ENSG00000175203/ENSG00000086065/ENSG00000205078/ENSG00000182628/ENSG00000142945/ENSG00000135476/ENSG00000117724/ENSG00000197102/ENSG00000128944/ENSG00000134057/ENSG00000132341/ENSG00000164828/ENSG00000004897/ENSG00000013810/ENSG00000126787/ENSG00000117399/ENSG00000072609/ENSG00000121621/ENSG00000101639/ENSG00000204899/ENSG00000183955/ENSG00000068903/ENSG00000053900/ENSG00000163539/ENSG00000116213/ENSG00000089685/ENSG00000183765/ENSG00000058804/ENSG00000153147/ENSG00000217442/ENSG00000082014/ENSG00000119541/ENSG00000178222/ENSG00000156970/ENSG00000137804/ENSG00000164114/ENSG00000149636/ENSG00000085415/ENSG00000080986/ENSG00000187531/ENSG00000062650/ENSG00000141552/ENSG00000138071/ENSG00000094880/ENSG00000031691/ENSG00000131023/ENSG00000112742/ENSG00000119048/ENSG00000117650/ENSG00000110987/ENSG00000071539/ENSG00000134982/ENSG00000151503/ENSG00000115091/ENSG00000139613/ENSG00000180096/ENSG00000119408/ENSG00000126215/ENSG00000144635/ENSG00000134690/ENSG00000076382/ENSG00000204410"
"GO:0000819","GO:0000819","sister chromatid segregation",225,0.586177682905224,1.7576802705176,1.38403953718347e-05,0.00796929965510244,0.00735289215175262,4620,"tags=46%, list=17%, signal=38%","ENSG00000099812/ENSG00000120129/ENSG00000205683/ENSG00000091436/ENSG00000276043/ENSG00000101057/ENSG00000123219/ENSG00000161800/ENSG00000075624/ENSG00000154839/ENSG00000196924/ENSG00000112029/ENSG00000167702/ENSG00000040275/ENSG00000109805/ENSG00000088325/ENSG00000136014/ENSG00000114166/ENSG00000094804/ENSG00000146918/ENSG00000146670/ENSG00000137807/ENSG00000103769/ENSG00000121152/ENSG00000138160/ENSG00000152253/ENSG00000067560/ENSG00000161888/ENSG00000170312/ENSG00000165480/ENSG00000122952/ENSG00000118193/ENSG00000163611/ENSG00000174442/ENSG00000137812/ENSG00000101350/ENSG00000178999/ENSG00000186185/ENSG00000101421/ENSG00000136824/ENSG00000073584/ENSG00000136861/ENSG00000164695/ENSG00000106635/ENSG00000178295/ENSG00000131165/ENSG00000074054/ENSG00000196510/ENSG00000131462/ENSG00000090889/ENSG00000101367/ENSG00000175063/ENSG00000131747/ENSG00000164109/ENSG00000237649/ENSG00000138778/ENSG00000113810/ENSG00000175203/ENSG00000086065/ENSG00000182628/ENSG00000142945/ENSG00000135476/ENSG00000117724/ENSG00000128944/ENSG00000134057/ENSG00000132341/ENSG00000004897/ENSG00000013810/ENSG00000126787/ENSG00000117399/ENSG00000072609/ENSG00000121621/ENSG00000101639/ENSG00000204899/ENSG00000183955/ENSG00000053900/ENSG00000163539/ENSG00000116213/ENSG00000089685/ENSG00000183765/ENSG00000153147/ENSG00000082014/ENSG00000119541/ENSG00000156970/ENSG00000137804/ENSG00000164114/ENSG00000085415/ENSG00000080986/ENSG00000062650/ENSG00000141552/ENSG00000094880/ENSG00000131023/ENSG00000112742/ENSG00000117650/ENSG00000110987/ENSG00000071539/ENSG00000134982/ENSG00000151503/ENSG00000139613/ENSG00000119408/ENSG00000126215/ENSG00000144635/ENSG00000134690"
