"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0002181","GO:0002181","cytoplasmic translation",159,-0.803853745080127,-2.45162781215186,1e-10,1.91933333333333e-07,1.83157894736842e-07,2295,"tags=62%, list=8%, signal=57%","ENSG00000106263/ENSG00000173933/ENSG00000241343/ENSG00000213741/ENSG00000114503/ENSG00000108591/ENSG00000130811/ENSG00000197728/ENSG00000221983/ENSG00000112183/ENSG00000102081/ENSG00000172809/ENSG00000161970/ENSG00000180574/ENSG00000143486/ENSG00000149100/ENSG00000065978/ENSG00000100353/ENSG00000265681/ENSG00000130255/ENSG00000178982/ENSG00000149806/ENSG00000171858/ENSG00000060138/ENSG00000008988/ENSG00000233927/ENSG00000115268/ENSG00000177954/ENSG00000213553/ENSG00000147677/ENSG00000144713/ENSG00000114391/ENSG00000136942/ENSG00000070756/ENSG00000197756/ENSG00000116251/ENSG00000118181/ENSG00000031698/ENSG00000174748/ENSG00000083845/ENSG00000122026/ENSG00000108298/ENSG00000198755/ENSG00000163682/ENSG00000138326/ENSG00000198918/ENSG00000175390/ENSG00000105372/ENSG00000177600/ENSG00000134419/ENSG00000089157/ENSG00000110700/ENSG00000142676/ENSG00000168028/ENSG00000108107/ENSG00000145592/ENSG00000089009/ENSG00000182899/ENSG00000140988/ENSG00000142534/ENSG00000109475/ENSG00000197958/ENSG00000143947/ENSG00000131469/ENSG00000170889/ENSG00000156482/ENSG00000161016/ENSG00000104408/ENSG00000164587/ENSG00000198034/ENSG00000162244/ENSG00000137818/ENSG00000112306/ENSG00000148303/ENSG00000142937/ENSG00000100316/ENSG00000188846/ENSG00000100129/ENSG00000137154/ENSG00000125691/ENSG00000166441/ENSG00000171863/ENSG00000063177/ENSG00000204628/ENSG00000147403/ENSG00000149273/ENSG00000147604/ENSG00000105193/ENSG00000145425/ENSG00000167526/ENSG00000122406/ENSG00000105640/ENSG00000071082/ENSG00000231500/ENSG00000174444/ENSG00000186468/ENSG00000198242/ENSG00000142541"
"GO:0042254","GO:0042254","ribosome biogenesis",313,-0.652786263777326,-2.16549537554123,1e-10,1.91933333333333e-07,1.83157894736842e-07,4630,"tags=54%, list=17%, signal=46%","ENSG00000215301/ENSG00000227057/ENSG00000242372/ENSG00000124784/ENSG00000242485/ENSG00000136718/ENSG00000058729/ENSG00000177971/ENSG00000156469/ENSG00000254858/ENSG00000225921/ENSG00000108651/ENSG00000053372/ENSG00000198492/ENSG00000146223/ENSG00000132467/ENSG00000100201/ENSG00000108559/ENSG00000029639/ENSG00000140598/ENSG00000171103/ENSG00000130935/ENSG00000145912/ENSG00000052749/ENSG00000136045/ENSG00000124383/ENSG00000100865/ENSG00000115761/ENSG00000100029/ENSG00000144736/ENSG00000148300/ENSG00000122034/ENSG00000125445/ENSG00000261236/ENSG00000109534/ENSG00000119285/ENSG00000178896/ENSG00000137876/ENSG00000065268/ENSG00000163811/ENSG00000104872/ENSG00000189306/ENSG00000141456/ENSG00000187051/ENSG00000198042/ENSG00000155393/ENSG00000125485/ENSG00000101361/ENSG00000039123/ENSG00000165732/ENSG00000179409/ENSG00000132153/ENSG00000188976/ENSG00000115368/ENSG00000007520/ENSG00000185163/ENSG00000143751/ENSG00000167721/ENSG00000143303/ENSG00000055044/ENSG00000088205/ENSG00000145375/ENSG00000139842/ENSG00000183751/ENSG00000065183/ENSG00000198498/ENSG00000104884/ENSG00000148843/ENSG00000198000/ENSG00000114767/ENSG00000197498/ENSG00000181163/ENSG00000055483/ENSG00000123064/ENSG00000001497/ENSG00000160214/ENSG00000166133/ENSG00000175467/ENSG00000171861/ENSG00000011260/ENSG00000132382/ENSG00000178105/ENSG00000142207/ENSG00000100138/ENSG00000084092/ENSG00000164163/ENSG00000112159/ENSG00000132603/ENSG00000134987/ENSG00000135372/ENSG00000160208/ENSG00000169251/ENSG00000172809/ENSG00000161970/ENSG00000130713/ENSG00000048162/ENSG00000087269/ENSG00000182810/ENSG00000130826/ENSG00000108561/ENSG00000148296/ENSG00000122140/ENSG00000129347/ENSG00000117597/ENSG00000164934/ENSG00000164346/ENSG00000166197/ENSG00000145414/ENSG00000179041/ENSG00000083520/ENSG00000156697/ENSG00000138442/ENSG00000171490/ENSG00000133316/ENSG00000171858/ENSG00000086189/ENSG00000171316/ENSG00000172183/ENSG00000141101/ENSG00000165526/ENSG00000073536/ENSG00000130810/ENSG00000233927/ENSG00000115268/ENSG00000144895/ENSG00000177954/ENSG00000213553/ENSG00000173113/ENSG00000145220/ENSG00000198585/ENSG00000136942/ENSG00000105202/ENSG00000077348/ENSG00000118181/ENSG00000083845/ENSG00000107833/ENSG00000170854/ENSG00000241945/ENSG00000198755/ENSG00000138326/ENSG00000105372/ENSG00000134419/ENSG00000089157/ENSG00000110700/ENSG00000142676/ENSG00000135821/ENSG00000168028/ENSG00000089009/ENSG00000182899/ENSG00000142534/ENSG00000131469/ENSG00000170889/ENSG00000188573/ENSG00000164587/ENSG00000198034/ENSG00000112306/ENSG00000148303/ENSG00000075914/ENSG00000142937/ENSG00000188846/ENSG00000137154/ENSG00000171863/ENSG00000147403/ENSG00000147604/ENSG00000105193/ENSG00000145425/ENSG00000122406/ENSG00000186468/ENSG00000198242/ENSG00000105373"
"GO:0022613","GO:0022613","ribonucleoprotein complex biogenesis",462,-0.616857488521639,-2.12201217694629,1e-10,1.91933333333333e-07,1.83157894736842e-07,4943,"tags=50%, list=18%, signal=41%","ENSG00000273841/ENSG00000079246/ENSG00000183207/ENSG00000144028/ENSG00000151131/ENSG00000140939/ENSG00000163877/ENSG00000172409/ENSG00000104897/ENSG00000122687/ENSG00000215301/ENSG00000227057/ENSG00000125977/ENSG00000242372/ENSG00000124784/ENSG00000242485/ENSG00000123908/ENSG00000136718/ENSG00000058729/ENSG00000177971/ENSG00000156469/ENSG00000254858/ENSG00000225921/ENSG00000108651/ENSG00000101161/ENSG00000107581/ENSG00000053372/ENSG00000198492/ENSG00000146223/ENSG00000132467/ENSG00000100201/ENSG00000108559/ENSG00000029639/ENSG00000132680/ENSG00000096063/ENSG00000140598/ENSG00000171103/ENSG00000130935/ENSG00000145912/ENSG00000175792/ENSG00000052749/ENSG00000136045/ENSG00000124383/ENSG00000100865/ENSG00000076924/ENSG00000115761/ENSG00000100029/ENSG00000144736/ENSG00000148300/ENSG00000122034/ENSG00000125445/ENSG00000142252/ENSG00000100650/ENSG00000261236/ENSG00000109534/ENSG00000119285/ENSG00000178896/ENSG00000137876/ENSG00000065268/ENSG00000163811/ENSG00000104872/ENSG00000189306/ENSG00000141456/ENSG00000187051/ENSG00000104131/ENSG00000179950/ENSG00000198042/ENSG00000155393/ENSG00000125485/ENSG00000101361/ENSG00000039123/ENSG00000165732/ENSG00000179409/ENSG00000132153/ENSG00000188976/ENSG00000105618/ENSG00000169976/ENSG00000115368/ENSG00000007520/ENSG00000169249/ENSG00000185163/ENSG00000184110/ENSG00000143751/ENSG00000167721/ENSG00000143303/ENSG00000125835/ENSG00000111786/ENSG00000055044/ENSG00000125743/ENSG00000088205/ENSG00000145375/ENSG00000139842/ENSG00000183751/ENSG00000084623/ENSG00000102241/ENSG00000065183/ENSG00000180228/ENSG00000100462/ENSG00000198498/ENSG00000104884/ENSG00000148843/ENSG00000198000/ENSG00000137574/ENSG00000114767/ENSG00000130741/ENSG00000197498/ENSG00000181163/ENSG00000096384/ENSG00000107290/ENSG00000055483/ENSG00000123064/ENSG00000001497/ENSG00000115524/ENSG00000106263/ENSG00000160214/ENSG00000079785/ENSG00000166133/ENSG00000175467/ENSG00000171861/ENSG00000011260/ENSG00000132382/ENSG00000178105/ENSG00000142207/ENSG00000100138/ENSG00000087365/ENSG00000110107/ENSG00000084092/ENSG00000130811/ENSG00000164163/ENSG00000112159/ENSG00000132603/ENSG00000134987/ENSG00000082516/ENSG00000135372/ENSG00000126070/ENSG00000160208/ENSG00000169251/ENSG00000172809/ENSG00000161970/ENSG00000180574/ENSG00000130713/ENSG00000048162/ENSG00000143486/ENSG00000087269/ENSG00000149100/ENSG00000182810/ENSG00000130826/ENSG00000183431/ENSG00000108561/ENSG00000099995/ENSG00000100353/ENSG00000148296/ENSG00000122140/ENSG00000129347/ENSG00000117597/ENSG00000164934/ENSG00000164346/ENSG00000166197/ENSG00000145414/ENSG00000005436/ENSG00000179041/ENSG00000178982/ENSG00000083520/ENSG00000156697/ENSG00000138442/ENSG00000171490/ENSG00000133316/ENSG00000171858/ENSG00000086189/ENSG00000171316/ENSG00000172183/ENSG00000141101/ENSG00000165526/ENSG00000149311/ENSG00000073536/ENSG00000130810/ENSG00000233927/ENSG00000115268/ENSG00000144895/ENSG00000177954/ENSG00000213553/ENSG00000147677/ENSG00000173113/ENSG00000145220/ENSG00000198585/ENSG00000136942/ENSG00000074201/ENSG00000105202/ENSG00000077348/ENSG00000118181/ENSG00000083845/ENSG00000107833/ENSG00000170854/ENSG00000241945/ENSG00000198755/ENSG00000138326/ENSG00000175390/ENSG00000105372/ENSG00000134419/ENSG00000089157/ENSG00000110700/ENSG00000142676/ENSG00000135821/ENSG00000168028/ENSG00000089009/ENSG00000182899/ENSG00000142534/ENSG00000131469/ENSG00000170889/ENSG00000104408/ENSG00000188573/ENSG00000164587/ENSG00000198034/ENSG00000112306/ENSG00000148303/ENSG00000075914/ENSG00000142937/ENSG00000188846/ENSG00000100129/ENSG00000137154/ENSG00000171863/ENSG00000147403/ENSG00000147604/ENSG00000105193/ENSG00000145425/ENSG00000122406/ENSG00000186468/ENSG00000198242/ENSG00000142541/ENSG00000105373"
"GO:0016072","GO:0016072","rRNA metabolic process",260,-0.619229083808889,-2.01058467124118,1.14237987950114e-08,1.64445583654189e-05,1.56926920289367e-05,4620,"tags=52%, list=17%, signal=44%","ENSG00000227057/ENSG00000242372/ENSG00000124784/ENSG00000136718/ENSG00000058729/ENSG00000177971/ENSG00000070814/ENSG00000225921/ENSG00000108651/ENSG00000134398/ENSG00000053372/ENSG00000198492/ENSG00000146223/ENSG00000132467/ENSG00000100201/ENSG00000099817/ENSG00000029639/ENSG00000099956/ENSG00000171103/ENSG00000130935/ENSG00000145912/ENSG00000052749/ENSG00000136045/ENSG00000124383/ENSG00000115761/ENSG00000100029/ENSG00000144736/ENSG00000148300/ENSG00000122034/ENSG00000261236/ENSG00000109534/ENSG00000119285/ENSG00000115207/ENSG00000178896/ENSG00000065268/ENSG00000163811/ENSG00000104872/ENSG00000189306/ENSG00000141456/ENSG00000198042/ENSG00000101361/ENSG00000186184/ENSG00000039123/ENSG00000165732/ENSG00000179409/ENSG00000115368/ENSG00000007520/ENSG00000185163/ENSG00000143751/ENSG00000167721/ENSG00000143303/ENSG00000055044/ENSG00000088205/ENSG00000183751/ENSG00000065183/ENSG00000104884/ENSG00000148843/ENSG00000147905/ENSG00000198000/ENSG00000125630/ENSG00000114767/ENSG00000197498/ENSG00000055483/ENSG00000123064/ENSG00000160570/ENSG00000001497/ENSG00000160214/ENSG00000166133/ENSG00000175467/ENSG00000171861/ENSG00000119041/ENSG00000011260/ENSG00000155115/ENSG00000178105/ENSG00000142207/ENSG00000100138/ENSG00000134987/ENSG00000166986/ENSG00000135372/ENSG00000160208/ENSG00000161970/ENSG00000115053/ENSG00000130713/ENSG00000087269/ENSG00000130826/ENSG00000129347/ENSG00000117597/ENSG00000164934/ENSG00000164346/ENSG00000166197/ENSG00000145414/ENSG00000179041/ENSG00000083520/ENSG00000156697/ENSG00000138442/ENSG00000171490/ENSG00000133316/ENSG00000171858/ENSG00000086189/ENSG00000171316/ENSG00000172183/ENSG00000141101/ENSG00000165526/ENSG00000130810/ENSG00000233927/ENSG00000115268/ENSG00000177954/ENSG00000173113/ENSG00000145220/ENSG00000198585/ENSG00000136942/ENSG00000105202/ENSG00000077348/ENSG00000118181/ENSG00000107833/ENSG00000241945/ENSG00000198755/ENSG00000138326/ENSG00000105372/ENSG00000142676/ENSG00000182899/ENSG00000131469/ENSG00000188573/ENSG00000164587/ENSG00000148303/ENSG00000075914/ENSG00000142937/ENSG00000188846/ENSG00000137154/ENSG00000171863/ENSG00000147604/ENSG00000105193/ENSG00000122406/ENSG00000105373/ENSG00000152684/ENSG00000214274"
"GO:0006364","GO:0006364","rRNA processing",221,-0.632880446796762,-2.00905822138662,1.14194323584108e-07,0.000109588485866216,0.000104577959492815,4620,"tags=54%, list=17%, signal=45%","ENSG00000227057/ENSG00000242372/ENSG00000124784/ENSG00000136718/ENSG00000058729/ENSG00000177971/ENSG00000225921/ENSG00000108651/ENSG00000053372/ENSG00000198492/ENSG00000146223/ENSG00000132467/ENSG00000100201/ENSG00000029639/ENSG00000171103/ENSG00000130935/ENSG00000145912/ENSG00000052749/ENSG00000136045/ENSG00000124383/ENSG00000115761/ENSG00000100029/ENSG00000144736/ENSG00000148300/ENSG00000261236/ENSG00000109534/ENSG00000119285/ENSG00000178896/ENSG00000065268/ENSG00000163811/ENSG00000104872/ENSG00000189306/ENSG00000141456/ENSG00000198042/ENSG00000101361/ENSG00000039123/ENSG00000165732/ENSG00000179409/ENSG00000115368/ENSG00000007520/ENSG00000185163/ENSG00000143751/ENSG00000167721/ENSG00000143303/ENSG00000055044/ENSG00000088205/ENSG00000183751/ENSG00000065183/ENSG00000104884/ENSG00000148843/ENSG00000198000/ENSG00000114767/ENSG00000197498/ENSG00000055483/ENSG00000123064/ENSG00000001497/ENSG00000160214/ENSG00000166133/ENSG00000175467/ENSG00000171861/ENSG00000011260/ENSG00000178105/ENSG00000142207/ENSG00000100138/ENSG00000134987/ENSG00000135372/ENSG00000160208/ENSG00000161970/ENSG00000130713/ENSG00000087269/ENSG00000130826/ENSG00000129347/ENSG00000117597/ENSG00000164934/ENSG00000164346/ENSG00000166197/ENSG00000145414/ENSG00000179041/ENSG00000083520/ENSG00000156697/ENSG00000138442/ENSG00000171490/ENSG00000133316/ENSG00000171858/ENSG00000086189/ENSG00000171316/ENSG00000172183/ENSG00000141101/ENSG00000165526/ENSG00000130810/ENSG00000233927/ENSG00000115268/ENSG00000177954/ENSG00000173113/ENSG00000145220/ENSG00000198585/ENSG00000136942/ENSG00000105202/ENSG00000077348/ENSG00000118181/ENSG00000107833/ENSG00000241945/ENSG00000198755/ENSG00000138326/ENSG00000105372/ENSG00000142676/ENSG00000182899/ENSG00000131469/ENSG00000188573/ENSG00000164587/ENSG00000148303/ENSG00000075914/ENSG00000142937/ENSG00000188846/ENSG00000137154/ENSG00000171863/ENSG00000147604/ENSG00000105193/ENSG00000122406/ENSG00000105373"
"GO:0034470","GO:0034470","ncRNA processing",415,-0.532382074359122,-1.81294709988831,1.02884816090482e-07,0.000109588485866216,0.000104577959492815,4786,"tags=45%, list=18%, signal=37%","ENSG00000163877/ENSG00000172409/ENSG00000122687/ENSG00000115970/ENSG00000127054/ENSG00000227057/ENSG00000242372/ENSG00000108506/ENSG00000124784/ENSG00000123908/ENSG00000136718/ENSG00000058729/ENSG00000177971/ENSG00000164941/ENSG00000163832/ENSG00000225921/ENSG00000166166/ENSG00000108651/ENSG00000053372/ENSG00000196976/ENSG00000198492/ENSG00000146223/ENSG00000132467/ENSG00000100201/ENSG00000149262/ENSG00000029639/ENSG00000087995/ENSG00000138050/ENSG00000113272/ENSG00000138385/ENSG00000171103/ENSG00000130935/ENSG00000145912/ENSG00000052749/ENSG00000136045/ENSG00000104613/ENSG00000124383/ENSG00000149743/ENSG00000115761/ENSG00000100029/ENSG00000144736/ENSG00000148300/ENSG00000261236/ENSG00000109534/ENSG00000119285/ENSG00000178896/ENSG00000087302/ENSG00000065268/ENSG00000163811/ENSG00000104872/ENSG00000189306/ENSG00000141456/ENSG00000198042/ENSG00000037474/ENSG00000185085/ENSG00000101361/ENSG00000039123/ENSG00000165732/ENSG00000179409/ENSG00000206557/ENSG00000189007/ENSG00000115368/ENSG00000164362/ENSG00000090861/ENSG00000007520/ENSG00000185163/ENSG00000174720/ENSG00000143751/ENSG00000167721/ENSG00000143303/ENSG00000059588/ENSG00000072506/ENSG00000055044/ENSG00000179598/ENSG00000055917/ENSG00000088205/ENSG00000135297/ENSG00000099899/ENSG00000104299/ENSG00000162927/ENSG00000198841/ENSG00000183751/ENSG00000065183/ENSG00000180228/ENSG00000104884/ENSG00000148843/ENSG00000065427/ENSG00000198000/ENSG00000114767/ENSG00000105329/ENSG00000134014/ENSG00000162623/ENSG00000197498/ENSG00000124217/ENSG00000055483/ENSG00000123064/ENSG00000160193/ENSG00000001497/ENSG00000170892/ENSG00000160214/ENSG00000066651/ENSG00000114503/ENSG00000163684/ENSG00000167112/ENSG00000079785/ENSG00000166133/ENSG00000175467/ENSG00000171861/ENSG00000011260/ENSG00000213339/ENSG00000178105/ENSG00000142207/ENSG00000100138/ENSG00000138035/ENSG00000100601/ENSG00000134987/ENSG00000142544/ENSG00000182134/ENSG00000135482/ENSG00000102786/ENSG00000135372/ENSG00000126070/ENSG00000160208/ENSG00000125352/ENSG00000104907/ENSG00000161970/ENSG00000198860/ENSG00000130713/ENSG00000087269/ENSG00000174177/ENSG00000130826/ENSG00000149016/ENSG00000141994/ENSG00000129347/ENSG00000117597/ENSG00000164934/ENSG00000164346/ENSG00000166197/ENSG00000145414/ENSG00000179041/ENSG00000083520/ENSG00000156697/ENSG00000138442/ENSG00000171490/ENSG00000133316/ENSG00000171858/ENSG00000086189/ENSG00000171316/ENSG00000172183/ENSG00000141101/ENSG00000165526/ENSG00000130810/ENSG00000233927/ENSG00000115268/ENSG00000177954/ENSG00000134759/ENSG00000173113/ENSG00000145220/ENSG00000198585/ENSG00000136942/ENSG00000105202/ENSG00000077348/ENSG00000118181/ENSG00000031698/ENSG00000107833/ENSG00000241945/ENSG00000198755/ENSG00000138326/ENSG00000105372/ENSG00000142676/ENSG00000182899/ENSG00000131469/ENSG00000188573/ENSG00000164587/ENSG00000148303/ENSG00000075914/ENSG00000142937/ENSG00000188846/ENSG00000137154/ENSG00000171863/ENSG00000147604/ENSG00000105193/ENSG00000122406/ENSG00000187772/ENSG00000105373"
"GO:0022618","GO:0022618","protein-RNA complex assembly",202,-0.613928943502512,-1.93694221330509,9.82217247930761e-07,0.000807943844797903,0.000771003614165199,4943,"tags=47%, list=18%, signal=39%","ENSG00000273841/ENSG00000079246/ENSG00000183207/ENSG00000144028/ENSG00000151131/ENSG00000140939/ENSG00000163877/ENSG00000172409/ENSG00000104897/ENSG00000122687/ENSG00000125977/ENSG00000242372/ENSG00000242485/ENSG00000123908/ENSG00000101161/ENSG00000107581/ENSG00000132680/ENSG00000096063/ENSG00000175792/ENSG00000076924/ENSG00000144736/ENSG00000125445/ENSG00000142252/ENSG00000100650/ENSG00000261236/ENSG00000104872/ENSG00000189306/ENSG00000104131/ENSG00000179950/ENSG00000179409/ENSG00000132153/ENSG00000105618/ENSG00000169976/ENSG00000169249/ENSG00000184110/ENSG00000125835/ENSG00000111786/ENSG00000125743/ENSG00000084623/ENSG00000102241/ENSG00000180228/ENSG00000100462/ENSG00000137574/ENSG00000130741/ENSG00000197498/ENSG00000096384/ENSG00000107290/ENSG00000115524/ENSG00000106263/ENSG00000079785/ENSG00000175467/ENSG00000100138/ENSG00000087365/ENSG00000110107/ENSG00000130811/ENSG00000112159/ENSG00000082516/ENSG00000126070/ENSG00000172809/ENSG00000180574/ENSG00000143486/ENSG00000149100/ENSG00000182810/ENSG00000183431/ENSG00000099995/ENSG00000100353/ENSG00000145414/ENSG00000005436/ENSG00000179041/ENSG00000178982/ENSG00000149311/ENSG00000073536/ENSG00000130810/ENSG00000233927/ENSG00000115268/ENSG00000177954/ENSG00000213553/ENSG00000147677/ENSG00000074201/ENSG00000083845/ENSG00000241945/ENSG00000175390/ENSG00000105372/ENSG00000089157/ENSG00000142676/ENSG00000168028/ENSG00000089009/ENSG00000104408/ENSG00000164587/ENSG00000100129/ENSG00000147403/ENSG00000122406/ENSG00000198242/ENSG00000142541/ENSG00000105373"
"GO:0071826","GO:0071826","protein-RNA complex organization",212,-0.600301667150957,-1.90351263377616,1.53299146075694e-06,0.00110337060387981,0.00105292308225674,4943,"tags=46%, list=18%, signal=38%","ENSG00000273841/ENSG00000079246/ENSG00000183207/ENSG00000144028/ENSG00000151131/ENSG00000140939/ENSG00000163877/ENSG00000172409/ENSG00000104897/ENSG00000122687/ENSG00000125977/ENSG00000242372/ENSG00000242485/ENSG00000123908/ENSG00000101161/ENSG00000107581/ENSG00000132680/ENSG00000096063/ENSG00000104129/ENSG00000175792/ENSG00000076924/ENSG00000144736/ENSG00000125445/ENSG00000142252/ENSG00000100650/ENSG00000261236/ENSG00000104872/ENSG00000189306/ENSG00000104131/ENSG00000179950/ENSG00000179409/ENSG00000132153/ENSG00000105618/ENSG00000169976/ENSG00000169249/ENSG00000184110/ENSG00000125835/ENSG00000111786/ENSG00000125743/ENSG00000104231/ENSG00000084623/ENSG00000102241/ENSG00000180228/ENSG00000100462/ENSG00000137574/ENSG00000130741/ENSG00000197498/ENSG00000096384/ENSG00000107290/ENSG00000115524/ENSG00000106263/ENSG00000079785/ENSG00000175467/ENSG00000100138/ENSG00000087365/ENSG00000110107/ENSG00000130811/ENSG00000112159/ENSG00000082516/ENSG00000126070/ENSG00000172809/ENSG00000180574/ENSG00000143486/ENSG00000149100/ENSG00000182810/ENSG00000183431/ENSG00000099995/ENSG00000100353/ENSG00000145414/ENSG00000005436/ENSG00000179041/ENSG00000178982/ENSG00000149311/ENSG00000073536/ENSG00000130810/ENSG00000233927/ENSG00000115268/ENSG00000177954/ENSG00000213553/ENSG00000147677/ENSG00000074201/ENSG00000083845/ENSG00000241945/ENSG00000175390/ENSG00000105372/ENSG00000089157/ENSG00000142676/ENSG00000168028/ENSG00000089009/ENSG00000104408/ENSG00000164587/ENSG00000100129/ENSG00000147403/ENSG00000122406/ENSG00000198242/ENSG00000142541/ENSG00000105373"
"GO:0042273","GO:0042273","ribosomal large subunit biogenesis",73,-0.765104294980522,-2.10146889751088,1.9477596856433e-06,0.00124613336332602,0.00118915854491907,4737,"tags=68%, list=17%, signal=57%","ENSG00000122687/ENSG00000242372/ENSG00000242485/ENSG00000053372/ENSG00000146223/ENSG00000145912/ENSG00000100865/ENSG00000100029/ENSG00000122034/ENSG00000261236/ENSG00000137876/ENSG00000198042/ENSG00000155393/ENSG00000132153/ENSG00000188976/ENSG00000088205/ENSG00000145375/ENSG00000198498/ENSG00000197498/ENSG00000181163/ENSG00000001497/ENSG00000142207/ENSG00000100138/ENSG00000112159/ENSG00000132603/ENSG00000161970/ENSG00000048162/ENSG00000182810/ENSG00000148296/ENSG00000164346/ENSG00000179041/ENSG00000138442/ENSG00000171490/ENSG00000133316/ENSG00000073536/ENSG00000130810/ENSG00000213553/ENSG00000136942/ENSG00000198755/ENSG00000089157/ENSG00000142676/ENSG00000089009/ENSG00000182899/ENSG00000148303/ENSG00000188846/ENSG00000147403/ENSG00000147604/ENSG00000122406/ENSG00000198242/ENSG00000105373"
"GO:0042274","GO:0042274","ribosomal small subunit biogenesis",103,-0.702904085286597,-1.97967857523855,3.90205745857542e-06,0.00224680468464773,0.0021440778877646,4620,"tags=60%, list=17%, signal=50%","ENSG00000227057/ENSG00000124784/ENSG00000136718/ENSG00000058729/ENSG00000177971/ENSG00000225921/ENSG00000108651/ENSG00000132467/ENSG00000130935/ENSG00000124383/ENSG00000115761/ENSG00000125445/ENSG00000119285/ENSG00000163811/ENSG00000189306/ENSG00000187051/ENSG00000101361/ENSG00000115368/ENSG00000007520/ENSG00000167721/ENSG00000055044/ENSG00000183751/ENSG00000065183/ENSG00000104884/ENSG00000114767/ENSG00000181163/ENSG00000011260/ENSG00000100138/ENSG00000134987/ENSG00000135372/ENSG00000087269/ENSG00000148296/ENSG00000129347/ENSG00000117597/ENSG00000164934/ENSG00000179041/ENSG00000171858/ENSG00000086189/ENSG00000141101/ENSG00000233927/ENSG00000115268/ENSG00000177954/ENSG00000105202/ENSG00000118181/ENSG00000083845/ENSG00000241945/ENSG00000138326/ENSG00000105372/ENSG00000134419/ENSG00000110700/ENSG00000168028/ENSG00000142534/ENSG00000170889/ENSG00000164587/ENSG00000198034/ENSG00000112306/ENSG00000142937/ENSG00000137154/ENSG00000171863/ENSG00000105193/ENSG00000145425/ENSG00000186468"
