"","mgi_symbol","description"
"ENSMUSG00000000001","Gnai3","G protein subunit alpha i3 [Source:MGI Symbol;Acc:MGI:95773]"
"ENSMUSG00000000134","Tfe3","transcription factor E3 [Source:MGI Symbol;Acc:MGI:98511]"
"ENSMUSG00000000194","Gpr107","G protein-coupled receptor 107 [Source:MGI Symbol;Acc:MGI:2139054]"
"ENSMUSG00000000223","Drp2","dystrophin related protein 2 [Source:MGI Symbol;Acc:MGI:107432]"
"ENSMUSG00000000266","Mid2","midline 2 [Source:MGI Symbol;Acc:MGI:1344333]"
"ENSMUSG00000000308","Ckmt1","creatine kinase, mitochondrial 1, ubiquitous [Source:MGI Symbol;Acc:MGI:99441]"
"ENSMUSG00000000355","Mcts1","malignant T cell amplified sequence 1 [Source:MGI Symbol;Acc:MGI:1916245]"
"ENSMUSG00000000544","Gpa33","glycoprotein A33 transmembrane [Source:MGI Symbol;Acc:MGI:1891703]"
"ENSMUSG00000000787","Ddx3x","DEAD box helicase 3, X-linked [Source:MGI Symbol;Acc:MGI:103064]"
"ENSMUSG00000000794","Kcnn3","potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3 [Source:MGI Symbol;Acc:MGI:2153183]"
"ENSMUSG00000000823","Zfp512b","zinc finger protein 512B [Source:MGI Symbol;Acc:MGI:2685478]"
"ENSMUSG00000000826","Dnajc5","DnaJ heat shock protein family (Hsp40) member C5 [Source:MGI Symbol;Acc:MGI:892995]"
"ENSMUSG00000000827","Tpd52l2","tumor protein D52-like 2 [Source:MGI Symbol;Acc:MGI:1913564]"
"ENSMUSG00000000838","Fmr1","fragile X messenger ribonucleoprotein 1 [Source:MGI Symbol;Acc:MGI:95564]"
"ENSMUSG00000000876","Pxmp4","peroxisomal membrane protein 4 [Source:MGI Symbol;Acc:MGI:1891701]"
"ENSMUSG00000000881","Dlg3","discs large MAGUK scaffold protein 3 [Source:MGI Symbol;Acc:MGI:1888986]"
"ENSMUSG00000001052","Sec24b","SEC24 homolog B, COPII coat complex component [Source:MGI Symbol;Acc:MGI:2139764]"
"ENSMUSG00000001127","Araf","Araf proto-oncogene, serine/threonine kinase [Source:MGI Symbol;Acc:MGI:88065]"
"ENSMUSG00000001128","Cfp","complement factor properdin [Source:MGI Symbol;Acc:MGI:97545]"
"ENSMUSG00000001131","Timp1","tissue inhibitor of metalloproteinase 1 [Source:MGI Symbol;Acc:MGI:98752]"
"ENSMUSG00000001134","Uxt","ubiquitously expressed prefoldin like chaperone [Source:MGI Symbol;Acc:MGI:1277988]"
"ENSMUSG00000001138","Cnnm3","cyclin M3 [Source:MGI Symbol;Acc:MGI:2151055]"
"ENSMUSG00000001143","Lman2l","lectin, mannose-binding 2-like [Source:MGI Symbol;Acc:MGI:2443010]"
"ENSMUSG00000001173","Ocrl","OCRL, inositol polyphosphate-5-phosphatase [Source:MGI Symbol;Acc:MGI:109589]"
"ENSMUSG00000001305","Rrp15","ribosomal RNA processing 15 homolog [Source:MGI Symbol;Acc:MGI:1914473]"
"ENSMUSG00000001403","Ube2c","ubiquitin-conjugating enzyme E2C [Source:MGI Symbol;Acc:MGI:1915862]"
"ENSMUSG00000001415","Smg5","SMG5 nonsense mediated mRNA decay factor [Source:MGI Symbol;Acc:MGI:2447364]"
"ENSMUSG00000001416","Cct3","chaperonin containing TCP1 subunit 3 [Source:MGI Symbol;Acc:MGI:104708]"
"ENSMUSG00000001418","Glmp","glycosylated lysosomal membrane protein [Source:MGI Symbol;Acc:MGI:1913318]"
"ENSMUSG00000001419","Mef2d","myocyte enhancer factor 2D [Source:MGI Symbol;Acc:MGI:99533]"
"ENSMUSG00000001420","Tmem79","transmembrane protein 79 [Source:MGI Symbol;Acc:MGI:1919163]"
"ENSMUSG00000001674","Ddx18","DEAD box helicase 18 [Source:MGI Symbol;Acc:MGI:1914192]"
"ENSMUSG00000001767","Crnkl1","crooked neck pre-mRNA splicing factor 1 [Source:MGI Symbol;Acc:MGI:1914127]"
"ENSMUSG00000001768","Rin2","Ras and Rab interactor 2 [Source:MGI Symbol;Acc:MGI:1921280]"
"ENSMUSG00000001855","Nup214","nucleoporin 214 [Source:MGI Symbol;Acc:MGI:1095411]"
"ENSMUSG00000001864","Aif1l","allograft inflammatory factor 1-like [Source:MGI Symbol;Acc:MGI:1919598]"
"ENSMUSG00000001924","Uba1","ubiquitin-like modifier activating enzyme 1 [Source:MGI Symbol;Acc:MGI:98890]"
"ENSMUSG00000001962","Fam50a","family with sequence similarity 50, member A [Source:MGI Symbol;Acc:MGI:1351626]"
"ENSMUSG00000001964","Emd","emerin [Source:MGI Symbol;Acc:MGI:108117]"
"ENSMUSG00000001998","Ap4e1","adaptor-related protein complex AP-4, epsilon 1 [Source:MGI Symbol;Acc:MGI:1336993]"
