"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSMUSG00000102135",3.52992879265611,0.2529248507999,0.572098728827776,0.27824080649617,0.475042230258033
"ENSMUSG00000100764",2.68435955432682,-0.0499149047782741,0.514785685355942,0.806860705819275,0.900865723844915
"ENSMUSG00000100635",0.870455179056505,-0.0810533530796861,0.558929165549971,0.477086724462472,NA
"ENSMUSG00000100480",6.7711467317391,-0.0707102261386775,0.490616451554521,0.766983511378341,0.87687788650256
"ENSMUSG00000100025",12.2891578440256,0.588471401582192,0.687440349762022,0.0887545420302772,0.212186526290667
"ENSMUSG00000051285",1580.47503176816,-0.171638424554911,0.225624015104255,0.400766747900408,0.601909433618362
"ENSMUSG00000103509",22.7663574208709,-0.767293562059695,0.536542403148663,0.0353848616106755,0.104081444393203
"ENSMUSG00000048538",26.3903866003864,-0.477355911181785,0.350894344539747,0.0921375104798569,0.218173595006029
"ENSMUSG00000039748",410.987546831854,-0.621074885177015,0.547995044448286,0.0714501711096796,0.180136928032945
"ENSMUSG00000104158",1.18500956680088,-0.102941208383036,0.569512766104118,0.35427526846807,NA
"ENSMUSG00000057363",1745.29451884154,-0.356061665937146,0.124111409740609,0.00319498321961704,0.0146731426230095
"ENSMUSG00000090243",1.64954987201266,-0.0453451610043985,0.53815791318913,0.769714311269646,NA
"ENSMUSG00000100701",6.49909685945566,-0.0308556573058305,0.432459443287849,0.907460114273479,0.956030885748658
"ENSMUSG00000100555",2.13519515614314,0.102865153418725,0.539390675098581,0.570744873593576,NA
"ENSMUSG00000038702",165.212824077659,-12.3589811569545,3.18956647494037,1.37665114039634e-20,1.31007875689061e-18
"ENSMUSG00000101875",1.15773059098992,0.12689072961763,0.553578540968486,0.43735549871194,NA
"ENSMUSG00000078184",23.0733236901761,0.299576188661785,0.347175650415859,0.281337433834445,0.478433715717039
"ENSMUSG00000033007",2.97655636570934,0.080192803013887,0.517800874830737,0.702779958063834,0.83838959741885
"ENSMUSG00000070695",11.8220038747751,0.215840591461095,0.464396538064411,0.454398889544431,0.647995102502449
"ENSMUSG00000084353",6.28753913119554,-0.762549083457813,0.798432566505554,0.0513757008094373,0.139669472012922
"ENSMUSG00000103933",31.5138061561914,0.997412509706312,0.385880800450474,0.0019790172540878,0.00986568726510069
"ENSMUSG00002075967",4.21602844616068,0.42905185891197,0.652340397553295,0.142756647081678,0.299216430569618
"ENSMUSG00000101571",1.5704040899543,-0.092626063341626,0.55247708040636,0.512038357985235,NA
