"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSMUSG00000102135",3.52992879265611,0.143745041974397,0.55027892003569,0.544088911214898,0.750904802103708
"ENSMUSG00000100764",2.68435955432682,0.0729271332764264,0.537747753005939,0.758868646597357,0.884781716733706
"ENSMUSG00000100635",0.870455179056505,-0.0422672377510928,0.578430272578777,0.73195620561303,NA
"ENSMUSG00000100480",6.7711467317391,-0.165724847880418,0.529956212294187,0.530174968885752,0.740722069643692
"ENSMUSG00000100025",12.2891578440256,0.243639729385247,0.517003316355515,0.411572591902126,0.643807284476302
"ENSMUSG00000051285",1580.47503176816,-0.124272633926164,0.226071754243002,0.54626579293755,0.752601054704759
"ENSMUSG00000103509",22.7663574208709,-0.925674095995376,0.55349918804186,0.0187035618606796,0.0710310671912395
"ENSMUSG00000048538",26.3903866003864,-1.20970153275658,0.411410468980747,0.00053962282763005,0.00376722426899573
"ENSMUSG00000039748",410.987546831854,-0.219980161020319,0.436899668155129,0.460326956429403,0.688136254258717
"ENSMUSG00000104158",1.18500956680088,-0.114735979827306,0.601447304071446,0.350639113034174,NA
"ENSMUSG00000057363",1745.29451884154,-0.273016158271032,0.123699201104507,0.0238012965342745,0.0858429151373628
"ENSMUSG00000090243",1.64954987201266,-0.0859513418481535,0.571481177581017,0.615056016210767,NA
"ENSMUSG00000100701",6.49909685945566,-2.20665768062805,1.00735214805354,0.0024456999749657,0.013692436936318
"ENSMUSG00000100555",2.13519515614314,0.110687671123616,0.565306020434892,0.578218793180863,0.774935189498738
"ENSMUSG00000038702",165.212824077659,-12.3977172707113,3.20425443412906,1.17236891559472e-20,1.10993474079725e-18
"ENSMUSG00000101875",1.15773059098992,0.129567816924304,0.579113952319511,0.471043451041435,NA
"ENSMUSG00000078184",23.0733236901761,-0.132172111275272,0.342851229593293,0.637114409606512,0.814647596050984
"ENSMUSG00000033007",2.97655636570934,-0.0080601976079961,0.535969027442556,0.97233798347416,0.988908856297856
"ENSMUSG00000070695",11.8220038747751,0.178379782738398,0.467650962216182,0.554532686953932,0.757505312723907
"ENSMUSG00000084353",6.28753913119554,-0.409080938847558,0.571426533540282,0.206722954180917,0.419868084736409
"ENSMUSG00000103933",31.5138061561914,0.308250618162551,0.344460878292431,0.274434432003077,0.503424465168328
