"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0034329","GO:0034329","cell junction assembly",357,-0.618450737081072,-1.81603957368022,1.43154864575326e-08,8.26146723464206e-05,6.81266466047419e-05,2428,"tags=25%, list=10%, signal=23%","ENSMUSG00000026842/ENSMUSG00000121607/ENSMUSG00000041936/ENSMUSG00000007594/ENSMUSG00000039585/ENSMUSG00000040249/ENSMUSG00000022425/ENSMUSG00000021823/ENSMUSG00000042453/ENSMUSG00000031217/ENSMUSG00000037712/ENSMUSG00000004530/ENSMUSG00000031393/ENSMUSG00000035064/ENSMUSG00000051615/ENSMUSG00000001552/ENSMUSG00000015335/ENSMUSG00000022443/ENSMUSG00000030342/ENSMUSG00000022565/ENSMUSG00000033855/ENSMUSG00000035274/ENSMUSG00000027184/ENSMUSG00000031078/ENSMUSG00000028465/ENSMUSG00000030123/ENSMUSG00000050947/ENSMUSG00000005103/ENSMUSG00000020758/ENSMUSG00000034160/ENSMUSG00000028556/ENSMUSG00000028649/ENSMUSG00000000957/ENSMUSG00000027950/ENSMUSG00000032402/ENSMUSG00000047910/ENSMUSG00000026478/ENSMUSG00000003934/ENSMUSG00000036718/ENSMUSG00000028184/ENSMUSG00000031841/ENSMUSG00000013236/ENSMUSG00000027995/ENSMUSG00000041959/ENSMUSG00000039953/ENSMUSG00000025810/ENSMUSG00000021451/ENSMUSG00000031558/ENSMUSG00000031734/ENSMUSG00000059456/ENSMUSG00000085795/ENSMUSG00000031355/ENSMUSG00000074305/ENSMUSG00000021782/ENSMUSG00000044674/ENSMUSG00000047501/ENSMUSG00000040003/ENSMUSG00000021638/ENSMUSG00000042821/ENSMUSG00000039385/ENSMUSG00000030000/ENSMUSG00000013033/ENSMUSG00000036856/ENSMUSG00000045083/ENSMUSG00000002885/ENSMUSG00000029581/ENSMUSG00000053646/ENSMUSG00000037541/ENSMUSG00000047261/ENSMUSG00000020902/ENSMUSG00000032473/ENSMUSG00000041729/ENSMUSG00000025582/ENSMUSG00000047230/ENSMUSG00000036957/ENSMUSG00000039252/ENSMUSG00000034520/ENSMUSG00000035566/ENSMUSG00000031980/ENSMUSG00000031342/ENSMUSG00000022514/ENSMUSG00000031214/ENSMUSG00000055322/ENSMUSG00000021994/ENSMUSG00000020681/ENSMUSG00000031654/ENSMUSG00000043557/ENSMUSG00000026433/ENSMUSG00000032012/ENSMUSG00000031340"
"GO:0050865","GO:0050865","regulation of cell activation",483,-0.575014487732692,-1.71038716650086,4.16000969915849e-08,0.000120037079869218,9.89863360520818e-05,2897,"tags=24%, list=12%, signal=22%","ENSMUSG00000004266/ENSMUSG00000031885/ENSMUSG00000032041/ENSMUSG00000021486/ENSMUSG00000006932/ENSMUSG00000026193/ENSMUSG00000029657/ENSMUSG00000035914/ENSMUSG00000036273/ENSMUSG00000021686/ENSMUSG00000029710/ENSMUSG00000028073/ENSMUSG00000022952/ENSMUSG00000016409/ENSMUSG00000021948/ENSMUSG00000033454/ENSMUSG00000021756/ENSMUSG00000026842/ENSMUSG00000050335/ENSMUSG00000019726/ENSMUSG00000024151/ENSMUSG00000024639/ENSMUSG00000002602/ENSMUSG00000031217/ENSMUSG00000068220/ENSMUSG00000017446/ENSMUSG00000055652/ENSMUSG00000023249/ENSMUSG00000078202/ENSMUSG00000002108/ENSMUSG00000040423/ENSMUSG00000031497/ENSMUSG00000030342/ENSMUSG00000027164/ENSMUSG00000042682/ENSMUSG00000022797/ENSMUSG00000039005/ENSMUSG00000016493/ENSMUSG00000040612/ENSMUSG00000005161/ENSMUSG00000055447/ENSMUSG00000066877/ENSMUSG00000042677/ENSMUSG00000028599/ENSMUSG00000024659/ENSMUSG00000000957/ENSMUSG00000027950/ENSMUSG00000007817/ENSMUSG00000041836/ENSMUSG00000021365/ENSMUSG00000029217/ENSMUSG00000014361/ENSMUSG00000042323/ENSMUSG00000002603/ENSMUSG00000003934/ENSMUSG00000056492/ENSMUSG00000024098/ENSMUSG00000031328/ENSMUSG00000042228/ENSMUSG00000027947/ENSMUSG00000028962/ENSMUSG00000031077/ENSMUSG00000062949/ENSMUSG00000015217/ENSMUSG00000037104/ENSMUSG00000001761/ENSMUSG00000054342/ENSMUSG00000040152/ENSMUSG00000021782/ENSMUSG00000030748/ENSMUSG00000029231/ENSMUSG00000005087/ENSMUSG00000079685/ENSMUSG00000028949/ENSMUSG00000030560/ENSMUSG00000074272/ENSMUSG00000061878/ENSMUSG00000063415/ENSMUSG00000035783/ENSMUSG00000028965/ENSMUSG00000025856/ENSMUSG00000033730/ENSMUSG00000000791/ENSMUSG00000051457/ENSMUSG00000107068/ENSMUSG00000063632/ENSMUSG00000027223/ENSMUSG00000000782/ENSMUSG00000038151/ENSMUSG00000051817/ENSMUSG00000063193/ENSMUSG00000021318/ENSMUSG00000034957/ENSMUSG00000021835/ENSMUSG00000029869/ENSMUSG00000032344/ENSMUSG00000029053/ENSMUSG00000066108/ENSMUSG00000020399/ENSMUSG00000112023/ENSMUSG00000032679/ENSMUSG00000042817/ENSMUSG00000027239/ENSMUSG00000036006/ENSMUSG00000044258/ENSMUSG00000029816/ENSMUSG00000112148/ENSMUSG00000016024/ENSMUSG00000078452/ENSMUSG00000021457/ENSMUSG00000029084/ENSMUSG00000038855/ENSMUSG00000031565/ENSMUSG00000033467/ENSMUSG00000021994/ENSMUSG00000035385/ENSMUSG00000027544"
"GO:0030198","GO:0030198","extracellular matrix organization",239,-0.632734929673727,-1.81629184127681,5.96876120069442e-07,0.000718529945510404,0.000592522300003198,1885,"tags=25%, list=8%, signal=23%","ENSMUSG00000035270/ENSMUSG00000019320/ENSMUSG00000005397/ENSMUSG00000031502/ENSMUSG00000006403/ENSMUSG00000028599/ENSMUSG00000001555/ENSMUSG00000034205/ENSMUSG00000032231/ENSMUSG00000000957/ENSMUSG00000022894/ENSMUSG00000032402/ENSMUSG00000026478/ENSMUSG00000028413/ENSMUSG00000031503/ENSMUSG00000002603/ENSMUSG00000043903/ENSMUSG00000001506/ENSMUSG00000033792/ENSMUSG00000032035/ENSMUSG00000038463/ENSMUSG00000025289/ENSMUSG00000021359/ENSMUSG00000042613/ENSMUSG00000007613/ENSMUSG00000022893/ENSMUSG00000006931/ENSMUSG00000028339/ENSMUSG00000032431/ENSMUSG00000022231/ENSMUSG00000040488/ENSMUSG00000029231/ENSMUSG00000034463/ENSMUSG00000037032/ENSMUSG00000027230/ENSMUSG00000022780/ENSMUSG00000063765/ENSMUSG00000031910/ENSMUSG00000021998/ENSMUSG00000045672/ENSMUSG00000031790/ENSMUSG00000022367/ENSMUSG00000033327/ENSMUSG00000033420/ENSMUSG00000029581/ENSMUSG00000000567/ENSMUSG00000050295/ENSMUSG00000050578/ENSMUSG00000044976/ENSMUSG00000027315/ENSMUSG00000039239/ENSMUSG00000047562/ENSMUSG00000031980/ENSMUSG00000031342/ENSMUSG00000036356/ENSMUSG00000001119/ENSMUSG00000032363/ENSMUSG00000030022/ENSMUSG00000043613/ENSMUSG00000070436"
"GO:0045229","GO:0045229","external encapsulating structure organization",239,-0.632734929673727,-1.81629184127681,5.96876120069442e-07,0.000718529945510404,0.000592522300003198,1885,"tags=25%, list=8%, signal=23%","ENSMUSG00000035270/ENSMUSG00000019320/ENSMUSG00000005397/ENSMUSG00000031502/ENSMUSG00000006403/ENSMUSG00000028599/ENSMUSG00000001555/ENSMUSG00000034205/ENSMUSG00000032231/ENSMUSG00000000957/ENSMUSG00000022894/ENSMUSG00000032402/ENSMUSG00000026478/ENSMUSG00000028413/ENSMUSG00000031503/ENSMUSG00000002603/ENSMUSG00000043903/ENSMUSG00000001506/ENSMUSG00000033792/ENSMUSG00000032035/ENSMUSG00000038463/ENSMUSG00000025289/ENSMUSG00000021359/ENSMUSG00000042613/ENSMUSG00000007613/ENSMUSG00000022893/ENSMUSG00000006931/ENSMUSG00000028339/ENSMUSG00000032431/ENSMUSG00000022231/ENSMUSG00000040488/ENSMUSG00000029231/ENSMUSG00000034463/ENSMUSG00000037032/ENSMUSG00000027230/ENSMUSG00000022780/ENSMUSG00000063765/ENSMUSG00000031910/ENSMUSG00000021998/ENSMUSG00000045672/ENSMUSG00000031790/ENSMUSG00000022367/ENSMUSG00000033327/ENSMUSG00000033420/ENSMUSG00000029581/ENSMUSG00000000567/ENSMUSG00000050295/ENSMUSG00000050578/ENSMUSG00000044976/ENSMUSG00000027315/ENSMUSG00000039239/ENSMUSG00000047562/ENSMUSG00000031980/ENSMUSG00000031342/ENSMUSG00000036356/ENSMUSG00000001119/ENSMUSG00000032363/ENSMUSG00000030022/ENSMUSG00000043613/ENSMUSG00000070436"
"GO:0001503","GO:0001503","ossification",321,-0.599234086972423,-1.75343490939036,7.33483120545754e-07,0.000718529945510404,0.000592522300003198,2894,"tags=28%, list=12%, signal=25%","ENSMUSG00000031885/ENSMUSG00000030890/ENSMUSG00000006932/ENSMUSG00000039286/ENSMUSG00000035914/ENSMUSG00000033016/ENSMUSG00000054675/ENSMUSG00000040711/ENSMUSG00000013622/ENSMUSG00000031168/ENSMUSG00000038344/ENSMUSG00000021796/ENSMUSG00000021936/ENSMUSG00000022952/ENSMUSG00000028763/ENSMUSG00000007872/ENSMUSG00000021756/ENSMUSG00000052534/ENSMUSG00000028284/ENSMUSG00000028063/ENSMUSG00000043207/ENSMUSG00000037712/ENSMUSG00000021493/ENSMUSG00000015846/ENSMUSG00000032487/ENSMUSG00000027164/ENSMUSG00000048772/ENSMUSG00000022265/ENSMUSG00000007041/ENSMUSG00000060743/ENSMUSG00000042745/ENSMUSG00000024247/ENSMUSG00000050931/ENSMUSG00000034762/ENSMUSG00000000957/ENSMUSG00000029050/ENSMUSG00000027198/ENSMUSG00000032402/ENSMUSG00000065611/ENSMUSG00000031520/ENSMUSG00000002603/ENSMUSG00000021540/ENSMUSG00000024098/ENSMUSG00000001506/ENSMUSG00000026836/ENSMUSG00000066613/ENSMUSG00000021359/ENSMUSG00000021379/ENSMUSG00000027339/ENSMUSG00000021451/ENSMUSG00000028108/ENSMUSG00000039231/ENSMUSG00000054252/ENSMUSG00000059456/ENSMUSG00000001761/ENSMUSG00000057457/ENSMUSG00000044674/ENSMUSG00000027230/ENSMUSG00000029304/ENSMUSG00000007805/ENSMUSG00000022098/ENSMUSG00000026725/ENSMUSG00000036856/ENSMUSG00000001911/ENSMUSG00000063632/ENSMUSG00000053646/ENSMUSG00000000567/ENSMUSG00000065460/ENSMUSG00000021318/ENSMUSG00000034957/ENSMUSG00000021835/ENSMUSG00000050295/ENSMUSG00000050578/ENSMUSG00000063873/ENSMUSG00000039004/ENSMUSG00000026321/ENSMUSG00000014813/ENSMUSG00000048776/ENSMUSG00000027239/ENSMUSG00000031342/ENSMUSG00000036356/ENSMUSG00000002384/ENSMUSG00000054196/ENSMUSG00000001119/ENSMUSG00000031565/ENSMUSG00000021994/ENSMUSG00000025854/ENSMUSG00000032363/ENSMUSG00000035799"
"GO:0002694","GO:0002694","regulation of leukocyte activation",442,-0.572021940783959,-1.70150717338586,8.71549058841245e-07,0.000718529945510404,0.000592522300003198,2897,"tags=24%, list=12%, signal=21%","ENSMUSG00000004266/ENSMUSG00000031885/ENSMUSG00000032041/ENSMUSG00000021486/ENSMUSG00000006932/ENSMUSG00000026193/ENSMUSG00000029657/ENSMUSG00000035914/ENSMUSG00000036273/ENSMUSG00000021686/ENSMUSG00000029710/ENSMUSG00000022952/ENSMUSG00000016409/ENSMUSG00000033454/ENSMUSG00000021756/ENSMUSG00000026842/ENSMUSG00000050335/ENSMUSG00000019726/ENSMUSG00000024151/ENSMUSG00000002602/ENSMUSG00000031217/ENSMUSG00000068220/ENSMUSG00000055652/ENSMUSG00000023249/ENSMUSG00000078202/ENSMUSG00000002108/ENSMUSG00000040423/ENSMUSG00000031497/ENSMUSG00000027164/ENSMUSG00000042682/ENSMUSG00000022797/ENSMUSG00000039005/ENSMUSG00000016493/ENSMUSG00000040612/ENSMUSG00000005161/ENSMUSG00000055447/ENSMUSG00000066877/ENSMUSG00000042677/ENSMUSG00000028599/ENSMUSG00000024659/ENSMUSG00000000957/ENSMUSG00000027950/ENSMUSG00000007817/ENSMUSG00000041836/ENSMUSG00000021365/ENSMUSG00000014361/ENSMUSG00000042323/ENSMUSG00000002603/ENSMUSG00000003934/ENSMUSG00000056492/ENSMUSG00000024098/ENSMUSG00000042228/ENSMUSG00000028962/ENSMUSG00000031077/ENSMUSG00000062949/ENSMUSG00000015217/ENSMUSG00000037104/ENSMUSG00000054342/ENSMUSG00000040152/ENSMUSG00000021782/ENSMUSG00000030748/ENSMUSG00000005087/ENSMUSG00000079685/ENSMUSG00000028949/ENSMUSG00000030560/ENSMUSG00000074272/ENSMUSG00000061878/ENSMUSG00000063415/ENSMUSG00000028965/ENSMUSG00000033730/ENSMUSG00000000791/ENSMUSG00000051457/ENSMUSG00000107068/ENSMUSG00000063632/ENSMUSG00000027223/ENSMUSG00000000782/ENSMUSG00000038151/ENSMUSG00000051817/ENSMUSG00000063193/ENSMUSG00000021318/ENSMUSG00000034957/ENSMUSG00000021835/ENSMUSG00000029869/ENSMUSG00000032344/ENSMUSG00000029053/ENSMUSG00000066108/ENSMUSG00000020399/ENSMUSG00000112023/ENSMUSG00000032679/ENSMUSG00000042817/ENSMUSG00000027239/ENSMUSG00000036006/ENSMUSG00000044258/ENSMUSG00000029816/ENSMUSG00000112148/ENSMUSG00000016024/ENSMUSG00000078452/ENSMUSG00000021457/ENSMUSG00000029084/ENSMUSG00000038855/ENSMUSG00000033467/ENSMUSG00000021994/ENSMUSG00000035385/ENSMUSG00000027544"
"GO:0044057","GO:0044057","regulation of system process",449,-0.563730327211123,-1.67711931077961,8.38235202997934e-07,0.000718529945510404,0.000592522300003198,2505,"tags=21%, list=10%, signal=19%","ENSMUSG00000022952/ENSMUSG00000020063/ENSMUSG00000000838/ENSMUSG00000026842/ENSMUSG00000036473/ENSMUSG00000041936/ENSMUSG00000022982/ENSMUSG00000038518/ENSMUSG00000021699/ENSMUSG00000042453/ENSMUSG00000028063/ENSMUSG00000043207/ENSMUSG00000021546/ENSMUSG00000031393/ENSMUSG00000035112/ENSMUSG00000017446/ENSMUSG00000001552/ENSMUSG00000029019/ENSMUSG00000002108/ENSMUSG00000032487/ENSMUSG00000007617/ENSMUSG00000026879/ENSMUSG00000023052/ENSMUSG00000031078/ENSMUSG00000029361/ENSMUSG00000050989/ENSMUSG00000042677/ENSMUSG00000026576/ENSMUSG00000015942/ENSMUSG00000036438/ENSMUSG00000028599/ENSMUSG00000040118/ENSMUSG00000034394/ENSMUSG00000027950/ENSMUSG00000032402/ENSMUSG00000065611/ENSMUSG00000022890/ENSMUSG00000031400/ENSMUSG00000007207/ENSMUSG00000031328/ENSMUSG00000041324/ENSMUSG00000057530/ENSMUSG00000028967/ENSMUSG00000034675/ENSMUSG00000048376/ENSMUSG00000031734/ENSMUSG00000037010/ENSMUSG00000059456/ENSMUSG00000058498/ENSMUSG00000054342/ENSMUSG00000047495/ENSMUSG00000015627/ENSMUSG00000040721/ENSMUSG00000030560/ENSMUSG00000032338/ENSMUSG00000026414/ENSMUSG00000061878/ENSMUSG00000053004/ENSMUSG00000042429/ENSMUSG00000091898/ENSMUSG00000029304/ENSMUSG00000028525/ENSMUSG00000020122/ENSMUSG00000027335/ENSMUSG00000029648/ENSMUSG00000004655/ENSMUSG00000028635/ENSMUSG00000033717/ENSMUSG00000038530/ENSMUSG00000063652/ENSMUSG00000053062/ENSMUSG00000054889/ENSMUSG00000029053/ENSMUSG00000045103/ENSMUSG00000041729/ENSMUSG00000039004/ENSMUSG00000014813/ENSMUSG00000061603/ENSMUSG00000034171/ENSMUSG00000039239/ENSMUSG00000034520/ENSMUSG00000014776/ENSMUSG00000031980/ENSMUSG00000031748/ENSMUSG00000029084/ENSMUSG00000031565/ENSMUSG00000034275/ENSMUSG00000020681/ENSMUSG00000031654/ENSMUSG00000044393/ENSMUSG00000048078/ENSMUSG00000032554/ENSMUSG00000047250"
"GO:0060348","GO:0060348","bone development",190,-0.650335529707852,-1.82822347602896,1.67469790336133e-06,0.000820228759349607,0.000676386327466657,1541,"tags=22%, list=6%, signal=21%","ENSMUSG00000000957/ENSMUSG00000029050/ENSMUSG00000019087/ENSMUSG00000027198/ENSMUSG00000031375/ENSMUSG00000021540/ENSMUSG00000037966/ENSMUSG00000001506/ENSMUSG00000021359/ENSMUSG00000016382/ENSMUSG00000021451/ENSMUSG00000028108/ENSMUSG00000054252/ENSMUSG00000050332/ENSMUSG00000047415/ENSMUSG00000040152/ENSMUSG00000063415/ENSMUSG00000026725/ENSMUSG00000045672/ENSMUSG00000025856/ENSMUSG00000001911/ENSMUSG00000022367/ENSMUSG00000053646/ENSMUSG00000000567/ENSMUSG00000040447/ENSMUSG00000021318/ENSMUSG00000021835/ENSMUSG00000050295/ENSMUSG00000020044/ENSMUSG00000050578/ENSMUSG00000032473/ENSMUSG00000045103/ENSMUSG00000039004/ENSMUSG00000014813/ENSMUSG00000048776/ENSMUSG00000091055/ENSMUSG00000036356/ENSMUSG00000001119/ENSMUSG00000025854/ENSMUSG00000032363/ENSMUSG00000035799/ENSMUSG00000070436"
"GO:0043062","GO:0043062","extracellular structure organization",240,-0.631933226139404,-1.81705247928478,1.28705146557459e-06,0.000820228759349607,0.000676386327466657,1885,"tags=25%, list=8%, signal=23%","ENSMUSG00000035270/ENSMUSG00000019320/ENSMUSG00000005397/ENSMUSG00000031502/ENSMUSG00000006403/ENSMUSG00000028599/ENSMUSG00000001555/ENSMUSG00000034205/ENSMUSG00000032231/ENSMUSG00000000957/ENSMUSG00000022894/ENSMUSG00000032402/ENSMUSG00000026478/ENSMUSG00000028413/ENSMUSG00000031503/ENSMUSG00000002603/ENSMUSG00000043903/ENSMUSG00000001506/ENSMUSG00000033792/ENSMUSG00000032035/ENSMUSG00000038463/ENSMUSG00000025289/ENSMUSG00000021359/ENSMUSG00000042613/ENSMUSG00000007613/ENSMUSG00000022893/ENSMUSG00000006931/ENSMUSG00000028339/ENSMUSG00000032431/ENSMUSG00000022231/ENSMUSG00000040488/ENSMUSG00000029231/ENSMUSG00000034463/ENSMUSG00000037032/ENSMUSG00000027230/ENSMUSG00000022780/ENSMUSG00000063765/ENSMUSG00000031910/ENSMUSG00000021998/ENSMUSG00000045672/ENSMUSG00000031790/ENSMUSG00000022367/ENSMUSG00000033327/ENSMUSG00000033420/ENSMUSG00000029581/ENSMUSG00000000567/ENSMUSG00000050295/ENSMUSG00000050578/ENSMUSG00000044976/ENSMUSG00000027315/ENSMUSG00000039239/ENSMUSG00000047562/ENSMUSG00000031980/ENSMUSG00000031342/ENSMUSG00000036356/ENSMUSG00000001119/ENSMUSG00000032363/ENSMUSG00000030022/ENSMUSG00000043613/ENSMUSG00000070436"
"GO:0150063","GO:0150063","visual system development",304,-0.593085085745782,-1.72864779801061,1.84768218186534e-06,0.000820228759349607,0.000676386327466657,2308,"tags=21%, list=9%, signal=19%","ENSMUSG00000035517/ENSMUSG00000040841/ENSMUSG00000027351/ENSMUSG00000052534/ENSMUSG00000040681/ENSMUSG00000015846/ENSMUSG00000041420/ENSMUSG00000033282/ENSMUSG00000035270/ENSMUSG00000014773/ENSMUSG00000031174/ENSMUSG00000022843/ENSMUSG00000021483/ENSMUSG00000031502/ENSMUSG00000034394/ENSMUSG00000029050/ENSMUSG00000032402/ENSMUSG00000037239/ENSMUSG00000065611/ENSMUSG00000014361/ENSMUSG00000026728/ENSMUSG00000002603/ENSMUSG00000022114/ENSMUSG00000037966/ENSMUSG00000024098/ENSMUSG00000041324/ENSMUSG00000043154/ENSMUSG00000025352/ENSMUSG00000021359/ENSMUSG00000007613/ENSMUSG00000025810/ENSMUSG00000027997/ENSMUSG00000054252/ENSMUSG00000029231/ENSMUSG00000028949/ENSMUSG00000024164/ENSMUSG00000007805/ENSMUSG00000057132/ENSMUSG00000020122/ENSMUSG00000040138/ENSMUSG00000001911/ENSMUSG00000029669/ENSMUSG00000029648/ENSMUSG00000063632/ENSMUSG00000004655/ENSMUSG00000000567/ENSMUSG00000038151/ENSMUSG00000036353/ENSMUSG00000021318/ENSMUSG00000021835/ENSMUSG00000050295/ENSMUSG00000030500/ENSMUSG00000049532/ENSMUSG00000035158/ENSMUSG00000039004/ENSMUSG00000020900/ENSMUSG00000044217/ENSMUSG00000039239/ENSMUSG00000027168/ENSMUSG00000015134/ENSMUSG00000036104/ENSMUSG00000075012/ENSMUSG00000032012/ENSMUSG00000035799"
