"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0007423","GO:0007423","sensory organ development",452,-0.620734920390005,-1.71350949042916,4.57724165388661e-08,0.000132076307922898,0.00010783017706735,1675,"tags=17%, list=7%, signal=16%","ENSMUSG00000040711/ENSMUSG00000025352/ENSMUSG00000021359/ENSMUSG00000024098/ENSMUSG00000021733/ENSMUSG00000068196/ENSMUSG00000031174/ENSMUSG00000023959/ENSMUSG00000015846/ENSMUSG00000023147/ENSMUSG00000025810/ENSMUSG00000026728/ENSMUSG00000029050/ENSMUSG00000079491/ENSMUSG00000002603/ENSMUSG00000057530/ENSMUSG00000027997/ENSMUSG00000046982/ENSMUSG00000041324/ENSMUSG00000020674/ENSMUSG00000031502/ENSMUSG00000028949/ENSMUSG00000024164/ENSMUSG00000023972/ENSMUSG00000065611/ENSMUSG00000020902/ENSMUSG00000014361/ENSMUSG00000054252/ENSMUSG00000031860/ENSMUSG00000007805/ENSMUSG00000000567/ENSMUSG00000029669/ENSMUSG00000014773/ENSMUSG00000028654/ENSMUSG00000004655/ENSMUSG00000040138/ENSMUSG00000035158/ENSMUSG00000029231/ENSMUSG00000029648/ENSMUSG00000020122/ENSMUSG00000052271/ENSMUSG00000008999/ENSMUSG00000030500/ENSMUSG00000028328/ENSMUSG00000001911/ENSMUSG00000021318/ENSMUSG00000016028/ENSMUSG00000020900/ENSMUSG00000039004/ENSMUSG00000039239/ENSMUSG00000015579/ENSMUSG00000021835/ENSMUSG00000035305/ENSMUSG00000022996/ENSMUSG00000034121/ENSMUSG00000027168/ENSMUSG00000049532/ENSMUSG00000038151/ENSMUSG00000033278/ENSMUSG00000034957/ENSMUSG00000021994/ENSMUSG00000005917/ENSMUSG00000044217/ENSMUSG00000036006/ENSMUSG00000007989/ENSMUSG00000054196/ENSMUSG00000050295/ENSMUSG00000026586/ENSMUSG00000031565/ENSMUSG00000015134/ENSMUSG00000075012/ENSMUSG00000063632/ENSMUSG00000024424/ENSMUSG00000032012/ENSMUSG00000036104/ENSMUSG00000035799"
"GO:0002694","GO:0002694","regulation of leukocyte activation",442,-0.621437787373845,-1.71312120513567,4.4941775262824e-08,0.000132076307922898,0.00010783017706735,1891,"tags=19%, list=8%, signal=18%","ENSMUSG00000031660/ENSMUSG00000025880/ENSMUSG00000035914/ENSMUSG00000041836/ENSMUSG00000029710/ENSMUSG00000028962/ENSMUSG00000050335/ENSMUSG00000031497/ENSMUSG00000034708/ENSMUSG00000024151/ENSMUSG00000056492/ENSMUSG00000024098/ENSMUSG00000007817/ENSMUSG00000015217/ENSMUSG00000057672/ENSMUSG00000026193/ENSMUSG00000000791/ENSMUSG00000040152/ENSMUSG00000020178/ENSMUSG00000042323/ENSMUSG00000005161/ENSMUSG00000053965/ENSMUSG00000028965/ENSMUSG00000079491/ENSMUSG00000031217/ENSMUSG00000062949/ENSMUSG00000007655/ENSMUSG00000030748/ENSMUSG00000000957/ENSMUSG00000001300/ENSMUSG00000036273/ENSMUSG00000002603/ENSMUSG00000005087/ENSMUSG00000040990/ENSMUSG00000070643/ENSMUSG00000037104/ENSMUSG00000024659/ENSMUSG00000027583/ENSMUSG00000028949/ENSMUSG00000078202/ENSMUSG00000038855/ENSMUSG00000021782/ENSMUSG00000004951/ENSMUSG00000054342/ENSMUSG00000051457/ENSMUSG00000014361/ENSMUSG00000028599/ENSMUSG00000029869/ENSMUSG00000030560/ENSMUSG00000063193/ENSMUSG00000066108/ENSMUSG00000031712/ENSMUSG00000032679/ENSMUSG00000016024/ENSMUSG00000027223/ENSMUSG00000021318/ENSMUSG00000020399/ENSMUSG00000042817/ENSMUSG00000053216/ENSMUSG00000029053/ENSMUSG00000021835/ENSMUSG00000035385/ENSMUSG00000044258/ENSMUSG00000000782/ENSMUSG00000022996/ENSMUSG00000061878/ENSMUSG00000029084/ENSMUSG00000112148/ENSMUSG00000038151/ENSMUSG00000051817/ENSMUSG00000027544/ENSMUSG00000034957/ENSMUSG00000021994/ENSMUSG00000078452/ENSMUSG00000027239/ENSMUSG00000036006/ENSMUSG00000032344/ENSMUSG00000041301/ENSMUSG00000033467/ENSMUSG00000112023/ENSMUSG00000021457/ENSMUSG00000063632/ENSMUSG00000037706"
"GO:0050865","GO:0050865","regulation of cell activation",483,-0.613299946161534,-1.69379622475684,7.61982758365383e-08,0.000146580083284221,0.000119671397419069,1891,"tags=19%, list=8%, signal=18%","ENSMUSG00000031660/ENSMUSG00000025880/ENSMUSG00000035914/ENSMUSG00000041836/ENSMUSG00000029710/ENSMUSG00000028962/ENSMUSG00000050335/ENSMUSG00000031497/ENSMUSG00000030342/ENSMUSG00000034708/ENSMUSG00000024151/ENSMUSG00000056492/ENSMUSG00000024098/ENSMUSG00000007817/ENSMUSG00000015217/ENSMUSG00000057672/ENSMUSG00000026193/ENSMUSG00000000791/ENSMUSG00000040152/ENSMUSG00000020178/ENSMUSG00000042323/ENSMUSG00000005161/ENSMUSG00000053965/ENSMUSG00000028965/ENSMUSG00000079491/ENSMUSG00000031217/ENSMUSG00000062949/ENSMUSG00000007655/ENSMUSG00000030748/ENSMUSG00000000957/ENSMUSG00000001300/ENSMUSG00000036273/ENSMUSG00000026580/ENSMUSG00000031328/ENSMUSG00000002603/ENSMUSG00000005087/ENSMUSG00000040990/ENSMUSG00000070643/ENSMUSG00000037104/ENSMUSG00000050675/ENSMUSG00000027947/ENSMUSG00000024659/ENSMUSG00000027583/ENSMUSG00000001761/ENSMUSG00000028949/ENSMUSG00000078202/ENSMUSG00000038855/ENSMUSG00000021782/ENSMUSG00000004951/ENSMUSG00000025856/ENSMUSG00000054342/ENSMUSG00000017446/ENSMUSG00000051457/ENSMUSG00000014361/ENSMUSG00000028599/ENSMUSG00000029869/ENSMUSG00000030560/ENSMUSG00000063193/ENSMUSG00000066108/ENSMUSG00000031712/ENSMUSG00000032679/ENSMUSG00000029231/ENSMUSG00000016024/ENSMUSG00000027223/ENSMUSG00000021318/ENSMUSG00000020399/ENSMUSG00000042817/ENSMUSG00000053216/ENSMUSG00000029053/ENSMUSG00000021835/ENSMUSG00000035385/ENSMUSG00000044258/ENSMUSG00000000782/ENSMUSG00000022996/ENSMUSG00000061878/ENSMUSG00000029084/ENSMUSG00000112148/ENSMUSG00000038151/ENSMUSG00000051817/ENSMUSG00000027544/ENSMUSG00000034957/ENSMUSG00000021994/ENSMUSG00000078452/ENSMUSG00000027239/ENSMUSG00000036006/ENSMUSG00000032344/ENSMUSG00000041301/ENSMUSG00000033467/ENSMUSG00000112023/ENSMUSG00000031565/ENSMUSG00000021457/ENSMUSG00000063632/ENSMUSG00000037706"
"GO:0034329","GO:0034329","cell junction assembly",357,-0.640490591146515,-1.75007277050378,2.08117904705596e-07,0.000186573610900834,0.000152323045790137,2848,"tags=29%, list=12%, signal=26%","ENSMUSG00000000303/ENSMUSG00000032402/ENSMUSG00000006699/ENSMUSG00000025809/ENSMUSG00000039252/ENSMUSG00000022443/ENSMUSG00000039844/ENSMUSG00000022286/ENSMUSG00000034648/ENSMUSG00000005469/ENSMUSG00000025064/ENSMUSG00000035274/ENSMUSG00000027184/ENSMUSG00000030536/ENSMUSG00000004530/ENSMUSG00000031393/ENSMUSG00000035064/ENSMUSG00000037605/ENSMUSG00000031696/ENSMUSG00000064302/ENSMUSG00000022565/ENSMUSG00000034160/ENSMUSG00000064272/ENSMUSG00000040003/ENSMUSG00000033214/ENSMUSG00000031078/ENSMUSG00000028465/ENSMUSG00000047501/ENSMUSG00000027087/ENSMUSG00000033855/ENSMUSG00000022892/ENSMUSG00000015335/ENSMUSG00000025880/ENSMUSG00000040249/ENSMUSG00000030342/ENSMUSG00000021823/ENSMUSG00000028556/ENSMUSG00000036718/ENSMUSG00000020758/ENSMUSG00000015533/ENSMUSG00000026193/ENSMUSG00000028649/ENSMUSG00000025810/ENSMUSG00000041936/ENSMUSG00000001552/ENSMUSG00000022421/ENSMUSG00000041959/ENSMUSG00000039953/ENSMUSG00000059456/ENSMUSG00000036856/ENSMUSG00000031217/ENSMUSG00000007655/ENSMUSG00000000957/ENSMUSG00000001300/ENSMUSG00000050947/ENSMUSG00000022099/ENSMUSG00000074305/ENSMUSG00000026478/ENSMUSG00000031355/ENSMUSG00000042821/ENSMUSG00000030123/ENSMUSG00000021782/ENSMUSG00000028184/ENSMUSG00000066392/ENSMUSG00000044674/ENSMUSG00000031841/ENSMUSG00000085795/ENSMUSG00000020902/ENSMUSG00000047910/ENSMUSG00000021451/ENSMUSG00000027995/ENSMUSG00000053646/ENSMUSG00000031734/ENSMUSG00000045083/ENSMUSG00000039385/ENSMUSG00000022321/ENSMUSG00000047230/ENSMUSG00000055976/ENSMUSG00000030000/ENSMUSG00000032473/ENSMUSG00000002885/ENSMUSG00000013236/ENSMUSG00000042453/ENSMUSG00000031558/ENSMUSG00000013033/ENSMUSG00000031980/ENSMUSG00000041729/ENSMUSG00000047261/ENSMUSG00000020681/ENSMUSG00000035566/ENSMUSG00000031342/ENSMUSG00000022514/ENSMUSG00000021994/ENSMUSG00000043557/ENSMUSG00000021638/ENSMUSG00000036957/ENSMUSG00000034520/ENSMUSG00000029581/ENSMUSG00000031214/ENSMUSG00000031654/ENSMUSG00000026433/ENSMUSG00000032012/ENSMUSG00000031340/ENSMUSG00000025582/ENSMUSG00000055322"
"GO:0003013","GO:0003013","circulatory system process",402,-0.625341582009897,-1.72192144075932,1.63207994242678e-07,0.000186573610900834,0.000152323045790137,2272,"tags=22%, list=9%, signal=21%","ENSMUSG00000022565/ENSMUSG00000027665/ENSMUSG00000053819/ENSMUSG00000031808/ENSMUSG00000050627/ENSMUSG00000024140/ENSMUSG00000022982/ENSMUSG00000031618/ENSMUSG00000021540/ENSMUSG00000033161/ENSMUSG00000035954/ENSMUSG00000041688/ENSMUSG00000022892/ENSMUSG00000049511/ENSMUSG00000021055/ENSMUSG00000025880/ENSMUSG00000020063/ENSMUSG00000040249/ENSMUSG00000041926/ENSMUSG00000027274/ENSMUSG00000036438/ENSMUSG00000031698/ENSMUSG00000031520/ENSMUSG00000072941/ENSMUSG00000025194/ENSMUSG00000026879/ENSMUSG00000022890/ENSMUSG00000020178/ENSMUSG00000041936/ENSMUSG00000001552/ENSMUSG00000027488/ENSMUSG00000053965/ENSMUSG00000031007/ENSMUSG00000007655/ENSMUSG00000091898/ENSMUSG00000027198/ENSMUSG00000031328/ENSMUSG00000039308/ENSMUSG00000002603/ENSMUSG00000057530/ENSMUSG00000026414/ENSMUSG00000006519/ENSMUSG00000075254/ENSMUSG00000040118/ENSMUSG00000026418/ENSMUSG00000031400/ENSMUSG00000010609/ENSMUSG00000048376/ENSMUSG00000026576/ENSMUSG00000055148/ENSMUSG00000054342/ENSMUSG00000029361/ENSMUSG00000037010/ENSMUSG00000033717/ENSMUSG00000045103/ENSMUSG00000031734/ENSMUSG00000028525/ENSMUSG00000014773/ENSMUSG00000020122/ENSMUSG00000061603/ENSMUSG00000020354/ENSMUSG00000031558/ENSMUSG00000032338/ENSMUSG00000031980/ENSMUSG00000059895/ENSMUSG00000041729/ENSMUSG00000039004/ENSMUSG00000034171/ENSMUSG00000028635/ENSMUSG00000039239/ENSMUSG00000015579/ENSMUSG00000027335/ENSMUSG00000028469/ENSMUSG00000020681/ENSMUSG00000029084/ENSMUSG00000042429/ENSMUSG00000033278/ENSMUSG00000027765/ENSMUSG00000021638/ENSMUSG00000058498/ENSMUSG00000047250/ENSMUSG00000041301/ENSMUSG00000050295/ENSMUSG00000034520/ENSMUSG00000054889/ENSMUSG00000019843/ENSMUSG00000046532/ENSMUSG00000031748/ENSMUSG00000044393/ENSMUSG00000014813"
"GO:0008015","GO:0008015","blood circulation",375,-0.627197569309537,-1.72012069826992,2.26306580541646e-07,0.000186573610900834,0.000152323045790137,2272,"tags=23%, list=9%, signal=21%","ENSMUSG00000022565/ENSMUSG00000027665/ENSMUSG00000053819/ENSMUSG00000050627/ENSMUSG00000024140/ENSMUSG00000022982/ENSMUSG00000031618/ENSMUSG00000021540/ENSMUSG00000033161/ENSMUSG00000035954/ENSMUSG00000041688/ENSMUSG00000022892/ENSMUSG00000049511/ENSMUSG00000021055/ENSMUSG00000025880/ENSMUSG00000020063/ENSMUSG00000041926/ENSMUSG00000027274/ENSMUSG00000036438/ENSMUSG00000031698/ENSMUSG00000031520/ENSMUSG00000072941/ENSMUSG00000026879/ENSMUSG00000022890/ENSMUSG00000020178/ENSMUSG00000041936/ENSMUSG00000001552/ENSMUSG00000027488/ENSMUSG00000053965/ENSMUSG00000031007/ENSMUSG00000007655/ENSMUSG00000091898/ENSMUSG00000027198/ENSMUSG00000031328/ENSMUSG00000039308/ENSMUSG00000002603/ENSMUSG00000057530/ENSMUSG00000026414/ENSMUSG00000006519/ENSMUSG00000040118/ENSMUSG00000026418/ENSMUSG00000031400/ENSMUSG00000010609/ENSMUSG00000048376/ENSMUSG00000026576/ENSMUSG00000055148/ENSMUSG00000054342/ENSMUSG00000029361/ENSMUSG00000037010/ENSMUSG00000033717/ENSMUSG00000045103/ENSMUSG00000031734/ENSMUSG00000028525/ENSMUSG00000014773/ENSMUSG00000020122/ENSMUSG00000061603/ENSMUSG00000020354/ENSMUSG00000031558/ENSMUSG00000032338/ENSMUSG00000031980/ENSMUSG00000059895/ENSMUSG00000041729/ENSMUSG00000039004/ENSMUSG00000034171/ENSMUSG00000028635/ENSMUSG00000039239/ENSMUSG00000015579/ENSMUSG00000027335/ENSMUSG00000028469/ENSMUSG00000020681/ENSMUSG00000029084/ENSMUSG00000042429/ENSMUSG00000033278/ENSMUSG00000027765/ENSMUSG00000021638/ENSMUSG00000058498/ENSMUSG00000047250/ENSMUSG00000041301/ENSMUSG00000050295/ENSMUSG00000034520/ENSMUSG00000054889/ENSMUSG00000046532/ENSMUSG00000031748/ENSMUSG00000044393/ENSMUSG00000014813"
"GO:0044057","GO:0044057","regulation of system process",449,-0.61184815195587,-1.68759861253269,1.72251446211836e-07,0.000186573610900834,0.000152323045790137,1417,"tags=17%, list=6%, signal=16%","ENSMUSG00000026879/ENSMUSG00000022890/ENSMUSG00000028063/ENSMUSG00000041936/ENSMUSG00000001552/ENSMUSG00000027488/ENSMUSG00000053965/ENSMUSG00000059456/ENSMUSG00000007655/ENSMUSG00000091898/ENSMUSG00000036273/ENSMUSG00000031328/ENSMUSG00000057530/ENSMUSG00000026414/ENSMUSG00000006519/ENSMUSG00000040118/ENSMUSG00000063652/ENSMUSG00000026418/ENSMUSG00000031400/ENSMUSG00000041324/ENSMUSG00000036473/ENSMUSG00000034675/ENSMUSG00000048376/ENSMUSG00000026576/ENSMUSG00000054342/ENSMUSG00000017446/ENSMUSG00000059588/ENSMUSG00000065611/ENSMUSG00000049044/ENSMUSG00000028599/ENSMUSG00000015627/ENSMUSG00000029361/ENSMUSG00000030560/ENSMUSG00000037010/ENSMUSG00000029304/ENSMUSG00000033717/ENSMUSG00000045103/ENSMUSG00000031734/ENSMUSG00000028525/ENSMUSG00000004655/ENSMUSG00000029648/ENSMUSG00000020122/ENSMUSG00000061603/ENSMUSG00000053062/ENSMUSG00000042453/ENSMUSG00000047495/ENSMUSG00000014776/ENSMUSG00000032338/ENSMUSG00000031980/ENSMUSG00000043924/ENSMUSG00000041729/ENSMUSG00000029053/ENSMUSG00000039004/ENSMUSG00000034171/ENSMUSG00000028635/ENSMUSG00000048078/ENSMUSG00000039239/ENSMUSG00000015579/ENSMUSG00000018340/ENSMUSG00000027335/ENSMUSG00000020681/ENSMUSG00000061878/ENSMUSG00000029084/ENSMUSG00000042429/ENSMUSG00000058498/ENSMUSG00000047250/ENSMUSG00000034275/ENSMUSG00000034520/ENSMUSG00000054889/ENSMUSG00000031565/ENSMUSG00000032554/ENSMUSG00000031654/ENSMUSG00000031748/ENSMUSG00000044393/ENSMUSG00000014813"
"GO:0001503","GO:0001503","ossification",321,-0.645276597388083,-1.75860023817292,4.3074088477279e-07,0.000310725705752972,0.000253683710558291,1675,"tags=20%, list=7%, signal=19%","ENSMUSG00000040711/ENSMUSG00000035692/ENSMUSG00000021359/ENSMUSG00000024098/ENSMUSG00000031520/ENSMUSG00000015846/ENSMUSG00000026725/ENSMUSG00000039231/ENSMUSG00000028063/ENSMUSG00000028763/ENSMUSG00000032265/ENSMUSG00000029050/ENSMUSG00000039286/ENSMUSG00000059456/ENSMUSG00000026836/ENSMUSG00000036856/ENSMUSG00000066026/ENSMUSG00000045092/ENSMUSG00000000957/ENSMUSG00000027198/ENSMUSG00000027339/ENSMUSG00000002603/ENSMUSG00000028108/ENSMUSG00000057457/ENSMUSG00000001761/ENSMUSG00000044674/ENSMUSG00000065611/ENSMUSG00000047443/ENSMUSG00000022098/ENSMUSG00000054252/ENSMUSG00000021451/ENSMUSG00000007805/ENSMUSG00000033871/ENSMUSG00000029304/ENSMUSG00000000567/ENSMUSG00000053646/ENSMUSG00000008999/ENSMUSG00000063873/ENSMUSG00000050578/ENSMUSG00000001911/ENSMUSG00000021318/ENSMUSG00000039004/ENSMUSG00000032363/ENSMUSG00000021835/ENSMUSG00000065460/ENSMUSG00000028469/ENSMUSG00000002384/ENSMUSG00000022996/ENSMUSG00000036356/ENSMUSG00000021379/ENSMUSG00000031342/ENSMUSG00000025854/ENSMUSG00000034957/ENSMUSG00000001119/ENSMUSG00000021994/ENSMUSG00000027239/ENSMUSG00000054196/ENSMUSG00000048776/ENSMUSG00000050295/ENSMUSG00000031565/ENSMUSG00000063632/ENSMUSG00000026321/ENSMUSG00000014813/ENSMUSG00000035799"
"GO:0060349","GO:0060349","bone morphogenesis",85,-0.78076297256359,-1.90856572931742,1.57224860877017e-06,0.000680894605119561,0.000555898230264783,1631,"tags=29%, list=7%, signal=28%","ENSMUSG00000021359/ENSMUSG00000001348/ENSMUSG00000003316/ENSMUSG00000040152/ENSMUSG00000028763/ENSMUSG00000029050/ENSMUSG00000066026/ENSMUSG00000000957/ENSMUSG00000027198/ENSMUSG00000045672/ENSMUSG00000054252/ENSMUSG00000000567/ENSMUSG00000050578/ENSMUSG00000001911/ENSMUSG00000021318/ENSMUSG00000022367/ENSMUSG00000039004/ENSMUSG00000021835/ENSMUSG00000028469/ENSMUSG00000036356/ENSMUSG00000048776/ENSMUSG00000050295/ENSMUSG00000014813/ENSMUSG00000035799/ENSMUSG00000070436"
"GO:0042063","GO:0042063","gliogenesis",317,-0.637468235143666,-1.73513215906062,1.25450221881612e-06,0.000680894605119561,0.000555898230264783,2272,"tags=25%, list=9%, signal=23%","ENSMUSG00000022565/ENSMUSG00000039005/ENSMUSG00000003458/ENSMUSG00000076431/ENSMUSG00000028613/ENSMUSG00000022982/ENSMUSG00000006782/ENSMUSG00000030265/ENSMUSG00000020458/ENSMUSG00000022892/ENSMUSG00000022973/ENSMUSG00000035456/ENSMUSG00000040249/ENSMUSG00000028517/ENSMUSG00000030342/ENSMUSG00000034708/ENSMUSG00000027490/ENSMUSG00000036353/ENSMUSG00000031095/ENSMUSG00000031520/ENSMUSG00000007817/ENSMUSG00000020758/ENSMUSG00000026193/ENSMUSG00000026883/ENSMUSG00000002489/ENSMUSG00000020178/ENSMUSG00000026728/ENSMUSG00000022037/ENSMUSG00000021611/ENSMUSG00000027315/ENSMUSG00000030541/ENSMUSG00000029050/ENSMUSG00000056758/ENSMUSG00000020467/ENSMUSG00000071176/ENSMUSG00000002603/ENSMUSG00000070643/ENSMUSG00000031075/ENSMUSG00000027858/ENSMUSG00000001761/ENSMUSG00000072235/ENSMUSG00000071847/ENSMUSG00000065611/ENSMUSG00000020902/ENSMUSG00000028599/ENSMUSG00000054252/ENSMUSG00000034220/ENSMUSG00000027995/ENSMUSG00000000567/ENSMUSG00000045103/ENSMUSG00000014773/ENSMUSG00000040138/ENSMUSG00000027070/ENSMUSG00000029648/ENSMUSG00000020122/ENSMUSG00000042453/ENSMUSG00000039116/ENSMUSG00000001911/ENSMUSG00000021318/ENSMUSG00000031980/ENSMUSG00000043924/ENSMUSG00000048078/ENSMUSG00000039239/ENSMUSG00000021835/ENSMUSG00000035305/ENSMUSG00000035385/ENSMUSG00000047261/ENSMUSG00000027168/ENSMUSG00000021614/ENSMUSG00000021379/ENSMUSG00000031342/ENSMUSG00000001119/ENSMUSG00000027765/ENSMUSG00000027239/ENSMUSG00000055538/ENSMUSG00000027375/ENSMUSG00000032554/ENSMUSG00000063632"
"GO:0048880","GO:0048880","sensory system development",306,-0.631066743777259,-1.71798690180551,1.40185737793144e-06,0.000680894605119561,0.000555898230264783,1934,"tags=20%, list=8%, signal=18%","ENSMUSG00000043154/ENSMUSG00000035517/ENSMUSG00000021557/ENSMUSG00000007613/ENSMUSG00000033282/ENSMUSG00000034708/ENSMUSG00000036353/ENSMUSG00000040711/ENSMUSG00000025352/ENSMUSG00000021359/ENSMUSG00000024098/ENSMUSG00000021733/ENSMUSG00000068196/ENSMUSG00000031174/ENSMUSG00000015846/ENSMUSG00000025810/ENSMUSG00000026728/ENSMUSG00000029050/ENSMUSG00000002603/ENSMUSG00000027997/ENSMUSG00000041324/ENSMUSG00000020674/ENSMUSG00000031502/ENSMUSG00000028949/ENSMUSG00000024164/ENSMUSG00000065611/ENSMUSG00000014361/ENSMUSG00000054252/ENSMUSG00000031860/ENSMUSG00000007805/ENSMUSG00000000567/ENSMUSG00000029669/ENSMUSG00000014773/ENSMUSG00000004655/ENSMUSG00000040138/ENSMUSG00000035158/ENSMUSG00000029231/ENSMUSG00000029648/ENSMUSG00000020122/ENSMUSG00000008999/ENSMUSG00000030500/ENSMUSG00000028328/ENSMUSG00000001911/ENSMUSG00000021318/ENSMUSG00000020900/ENSMUSG00000039004/ENSMUSG00000039239/ENSMUSG00000021835/ENSMUSG00000027168/ENSMUSG00000049532/ENSMUSG00000038151/ENSMUSG00000033278/ENSMUSG00000044217/ENSMUSG00000050295/ENSMUSG00000015134/ENSMUSG00000075012/ENSMUSG00000063632/ENSMUSG00000032012/ENSMUSG00000036104/ENSMUSG00000035799"
"GO:0010720","GO:0010720","positive regulation of cell development",438,-0.602755626116966,-1.6618047056931,1.65179769046506e-06,0.000680894605119561,0.000555898230264783,2958,"tags=27%, list=12%, signal=25%","ENSMUSG00000040663/ENSMUSG00000042228/ENSMUSG00000021408/ENSMUSG00000027692/ENSMUSG00000057897/ENSMUSG00000031398/ENSMUSG00000032064/ENSMUSG00000025809/ENSMUSG00000029106/ENSMUSG00000033952/ENSMUSG00000039384/ENSMUSG00000000838/ENSMUSG00000021686/ENSMUSG00000022843/ENSMUSG00000031729/ENSMUSG00000019122/ENSMUSG00000015291/ENSMUSG00000016409/ENSMUSG00000020387/ENSMUSG00000024085/ENSMUSG00000017697/ENSMUSG00000030774/ENSMUSG00000027184/ENSMUSG00000031778/ENSMUSG00000031393/ENSMUSG00000035064/ENSMUSG00000020389/ENSMUSG00000021936/ENSMUSG00000002602/ENSMUSG00000052727/ENSMUSG00000055652/ENSMUSG00000076431/ENSMUSG00000028613/ENSMUSG00000037966/ENSMUSG00000045039/ENSMUSG00000025423/ENSMUSG00000027859/ENSMUSG00000031885/ENSMUSG00000002413/ENSMUSG00000030265/ENSMUSG00000020458/ENSMUSG00000047415/ENSMUSG00000022973/ENSMUSG00000032501/ENSMUSG00000031660/ENSMUSG00000025880/ENSMUSG00000040249/ENSMUSG00000027490/ENSMUSG00000025372/ENSMUSG00000031520/ENSMUSG00000007817/ENSMUSG00000026193/ENSMUSG00000028649/ENSMUSG00000038264/ENSMUSG00000034813/ENSMUSG00000002489/ENSMUSG00000025810/ENSMUSG00000042323/ENSMUSG00000026728/ENSMUSG00000051243/ENSMUSG00000027315/ENSMUSG00000022016/ENSMUSG00000053965/ENSMUSG00000041444/ENSMUSG00000049717/ENSMUSG00000062949/ENSMUSG00000030748/ENSMUSG00000000957/ENSMUSG00000050947/ENSMUSG00000002603/ENSMUSG00000070643/ENSMUSG00000037104/ENSMUSG00000024659/ENSMUSG00000036473/ENSMUSG00000027583/ENSMUSG00000030123/ENSMUSG00000034675/ENSMUSG00000001761/ENSMUSG00000028949/ENSMUSG00000038855/ENSMUSG00000065611/ENSMUSG00000020902/ENSMUSG00000079092/ENSMUSG00000022231/ENSMUSG00000028599/ENSMUSG00000021451/ENSMUSG00000033871/ENSMUSG00000027995/ENSMUSG00000025105/ENSMUSG00000053646/ENSMUSG00000006930/ENSMUSG00000031712/ENSMUSG00000027070/ENSMUSG00000029648/ENSMUSG00000020122/ENSMUSG00000025885/ENSMUSG00000027820/ENSMUSG00000042453/ENSMUSG00000021318/ENSMUSG00000053216/ENSMUSG00000029053/ENSMUSG00000048078/ENSMUSG00000021835/ENSMUSG00000022996/ENSMUSG00000020681/ENSMUSG00000027168/ENSMUSG00000021614/ENSMUSG00000021379/ENSMUSG00000112148/ENSMUSG00000051817/ENSMUSG00000021994/ENSMUSG00000027239/ENSMUSG00000007989/ENSMUSG00000041301/ENSMUSG00000029765/ENSMUSG00000112023/ENSMUSG00000021457/ENSMUSG00000032554/ENSMUSG00000063632/ENSMUSG00000026321"
